phonemes,prediction,ground_truth,time_ms,tokens_in,tokens_out
HH IY  |  K AE N  |  K AH N S IH S T AH N T L IY  |  S T AO R  |  DH AH  |  D EY M AH JH  |  Y UW  |  N IY D  |  T UW  |  T R AY AH L  |  Y AO R  |  AE N  |  IH N T UW  |  P L EY  | ,He can consistently score the damage you need to trial your hand into play.,He can consistently score the damage you need to prowl your hand into play.,1027.12,158,15
DH IH S  |  IH Z  |  EY T IH NG  |  P AW R D ER Z  |  R IY V IH Z IH D AH N  | ,This is eating disorders revisited.,This is headache powders revisited.,756.9,100,7
AH N D ER S T AE N D IH NG  |  DH AH  |  M OW B AH L  |  K L AE S EY M  | ,Understanding the mobile classroom.,Understanding the mobile landscape.,635.92,96,5
T R AH P  |  AE Z  |  N AH M AH N IY T IY  |  W EY ZH ER M  |  B AA R  |  AE Z  |  DH AH  |  N EH K S T  |  AH T ER N IY  |  JH IH M ER AH L  | ,Trump has nominated Wager Bar as the next attorney general.,Trump has nominated William Barr as the next attorney general.,881.92,137,12
M B AE S K W EH L  |  TH IH NG Z  |  AH  |  S EH M AH L ER  |  HH AA R G Y AH M AH N T  |  SH UH D  |  B IY  |  M EY D  |  F AO R  |  S ER S  |  IH N D AH N D Z  | ,"In basketball, there is a similar argument could be made for, say, rebounds.",Pasquale thinks a similar argument should be made for search engines.,834.32,144,17
DH AH  |  HH AH R K Y AH L IY Z  |  AH N D  |  R EY B AH L  |  S T AE K  |  M IY D AH L Z  |  AY  |  HH AH L AH N Z  |  HH IY R  | ,The Hercules and rebel stock medals are hallmarked here.,The Hercules and rainbow stag beetles are highlights here.,917.35,129,11
AH  |  V IH ZH AH W AH L  |  K AH M P EH R AH S AH N T  |  AH V  |  V EH R IY AH Z S  |  D IH S T AH S T IH Z  | ,A visual comparison of various distances.,A Visual Comparison of Various Distances,851.87,117,7
AY  |  K UH D  |  HH IY R  |  M AY  |  AE K S EH L ER EY T IH D  |  B R IY DH IH NG  | ,I could hear my accelerated breathing.,I could hear my accelerated breathing.,714.9,105,7
DH AH  |  N UW Z  |  AH N D  |  S T AO R IY Z  |  DH AE T  |  M AE T ER  |  D IH L EH V ER D  |  W EH N T EY  |  W AO R N IH N Z  | ,"The news and stories that matter, delivered with no warnings.","The news and stories that matter, delivered weekday mornings.",805.65,128,12
W IH CH  |  AH M IH K AH  |  G EY V Z  |  IH M P R EH S T  |  Y UW  |  IH T  |  T AH M Z  |  AH V  |  K EH M P L EY  |  AO R  |  S EH N AH K AH L  |  T R IY SH  | ,Whichever games impressed you in terms of gameplay or technical tricks.,Which Amiga games impressed you in terms of gameplay or technical tricks?,831.27,145,13
AO L S OW  |  AE T  |  DH AE T  |  G AY M  |  W IY  |  W ER  |  S T AA R T IH NG  |  T UW  |  HH EY T  |  IH Z  |  AH DH ER  |  AH  |  L IH T AH L  |  B IH T  | ,Also at that time we were starting to hate each other a little bit.,"Also, at that time we were starting to hate each other a little bit.",866.25,145,15
K AY R T AH D  |  AH N D  |  D EH V AH K HH AH L T IY  |  K AA N K Y AH L EY SH AH N Z  | ,Carted and difficulty calculations.,Target and Difficulty Calculations,630.59,104,6
W AH T  |  IH Z  |  B IY V  |  JH OY K IY  |  EH N IY W EY  | ,What is beef jerky anyway?,"What is beef jerky, anyway?",726.07,97,7
DH AH  |  W EH N T AH N T IY  |  Y UW  |  JH UW Z  |  IH K S EH N T S  |  DH AH  |  K W AA N T AH T IY  |  IH V IY L AH B AH L  | ,The quantity you choose accents the quality available.,The quantity you chose exceeds the quantity available.,740.11,128,9
B AH T  |  IY V IH N  |  AE T  |  IH T S  |  M OW S T  |  S AY AH N T IH F IH NG  |  DH AH  |  K AA N S EH P  |  IH Z  |  S AH M P AH L  | ,"But even at its most scientific, the concept is simple.","But even at its most scientific, the concept is simple.",809.69,132,12
AA R  |  DH EY  |  DH AH  |  S EY M  |  DH EH R  | ,Are they the same there?,Are they the same there?,677.94,87,6
W AO N T ER  |  IH N T UW  |  DH IH S  |  B OW L  | ,Water into this bowl.,Water into this bowl.,777.03,87,5
W IY  |  JH AH S T  |  L EH F T  |  IH T  |  AH L OW N  | ,We just left it alone.,We just left it alone.,699.83,93,6
T R AY IH NG  |  T UW  |  F AY N D  |  S AH M W AH N  |  AE T  |  HH OW M  | ,Trying to find someone at home.,Trying to find someone at home.,711.03,100,7
SH AO R T  |  AH V  |  L AY K  |  AE N  |  IH N S EY N JH  |  P R OW G R AE M  | ,Sort of like an exchange program.,Sort of like an exchange program.,716.18,103,7
AY  |  D OW N T  |  N OW  |  HH AA  |  W IY  |  K UH D  |  M EY K  |  IH T  |  M AO R  |  F EH R  | ,I don't know how we could make it more fair.,I don't know how we could make it more fair.,761.24,116,11
B EH T ER  |  DH AE N  |  Y UH R AH P D  | ,Better than Europe.,Better than Europe.,653.04,82,4
T UW  |  G OW  |  AW T  |  F IH SH IH NG  |  IH N  |  AH  |  B IH T  | ,To go out fishing in a boat.,To go out fishing in a boat.,884.89,98,8
AH B AW T  |  F AO R  |  HH AH N D R AH D  |  SH EH D  |  AH P  | ,About four hundred showed up.,About four hundred showed up.,689.22,94,6
DH EY  |  W ER  |  P R IH T IH NG  |  M AH CH  |  IH N  |  G UH D  |  T EY S  | ,They were putting much in good taste.,They were pretty much in good taste.,859.44,102,8
AY  |  N EH V ER  |  K W AY T  |  F AW N D  |  AH  |  N UW  |  Y AO R K  |  F AE N  | ,I never quite found a New York fan.,I never quite found a New York fan.,875.71,107,9
B IH F AO R  |  Y UW  |  R IH AH L AY Z  |  EH N IY TH IH NG  |  IH Z  |  G OW IH NG  |  AA N  | ,Before you realize anything is going on.,Before you realize anything is going on.,703.35,109,8
W EH N  |  AY M  |  AH P  |  HH IY R  | ,When I'm up here.,When I'm up here.,686.52,83,5
AH N D  |  DH AE T S  |  W AH T  |  IH T  |  F AA Z  |  AH N D ER  | ,"And that's what it was, and or.",And that's what it falls under.,831.67,97,9
AY  |  N EH V ER  |  G OW  |  T UW  |  DH AH  |  F IH SH AH N  |  S EH K S AH N  | ,I never go to the fashion section.,I never go to the fiction section.,722.0,103,8
AW ER  |  S L IY P IH NG  |  P EY S  |  AY  |  G AE S  | ,"Our sleeping pace, I guess.",Our sleeping bags I guess.,716.58,91,7
SH IY  |  TH IH NG Z  |  L AY K  |  DH AE T  | ,She thinks like that.,See things like that.,1174.1,85,5
AY  |  D OW N T  |  G EH T  |  DH AE T  | ,I don't get that.,I don't get that.,669.46,83,5
W IY R  |  G OW IH NG  |  T UW  |  HH AE V  |  T UW  |  D UW  |  S AH M TH IH NG  | ,We're going to have to do something.,We're going to have to do something.,850.23,104,8
AY  |  W AA Z AH N T  |  R IH L IY  | ,I wasn't really.,I wasn't really.,752.52,81,4
W IY  |  TH IH NG K  |  IH T S  |  G UH D  | ,We think it's good.,We think it's good.,866.43,85,5
IH T  |  IH Z  |  IH N  |  AH G R IY M AH N T  |  W IH DH  |  IH T S  |  P R AH V IH ZH AH N Z  | ,It is in agreement with its provisions.,It is in agreement with its provisions.,855.18,112,8
AY  |  K AE N  |  R IH L IY  |  T EH L  |  DH AH  |  D IH F ER AH N S  | ,I can really tell the difference.,I can really tell the difference.,695.05,99,7
DH AH  |  L AE S T  |  B UH K  |  AY  |  R EH D  | ,The last book I read.,The last book I read.,786.85,88,6
OW M OW Z T  |  L AY K  |  AH  |  D IH L L IH NG  | ,Almost like a drilling.,Almost like a tingling.,657.66,87,5
AY  |  TH IH NG K  |  DH AE T  |  K UH D  |  W ER K  |  AE Z  |  AH  |  T OY  | ,I think that could work as a toy.,I think that could work as a toy.,730.53,104,9
AY  |  N OW T IH S T  |  DH OW Z  |  T AE K Z S  | ,I noticed those texts.,I noticed those dogs.,662.02,87,5
DH OW Z  |  G EY M Z  |  AA R  |  F AH N  |  T UW  |  W AA CH  | ,Those games are fun to watch.,Those games are fun to watch.,679.11,95,7
TH IH NG Z  |  AH V  |  DH AE T  |  T IH SH ER  |  W IH CH  |  B EY D  |  AH S  |  F IY L  |  G UH D  | ,Things of that nature which made us feel good.,Things of that nature which made us feel good.,730.55,115,10
W AH T  |  K AY N D  |  AH V  |  D AO G  |  T UW  |  Y UW  |  HH AE V  | ,What kind of dog do you have?,What kind of dog do you have.,722.75,100,8
DH EY  |  AA R  |  G OW IH NG  |  T UW  |  G EH T  |  AH  |  G AO N  |  N OW  |  M AE T ER  |  W AY T  | ,They are going to get a gun no matter what.,They are going to get a gun no matter what.,723.94,116,11
AH  |  L IH T AH L  |  B R IY V  |  AO T OW  |  B IH K AE G AH S IY  |  AH V  |  DH IH S EH L V Z  | ,A little bit of auto because of themselves.,A little brief autobiography of themselves.,796.94,113,9
AA N  |  AO K EY ZH AH N  |  AY  |  K AE N  |  W IY R  |  CH IY N Z  | ,On occasion I can wear jeans.,On occasion I can wear jeans.,778.55,100,7
DH AH  |  N UW Z  |  W AA Z  |  F ER S T  |  R IY P AO R T IH D  |  B AY  |  D IH G TH AH N  |  AH L AH M EY T  | ,The news was first reported by Digital Alomayt.,The news was first reported by Deadline Hollywood.,921.96,119,12
S UW D AH N T S  |  T UW  |  N AA T  |  L AY K  |  DH IH S  |  R IH S P AA S  | ,Students do not like this response.,Students do not like this response.,817.9,102,7
DH EH R  |  AA R  |  N OW  |  M AO R  |  F V IY K IH K AH L  |  T AO K AH Z  |  S T R EY T  |  AH  |  DH AH  |  M AE P  | ,"There are no more vehicles, just a straight on the map.",There are no more vehicle tokens spread across the map.,808.0,125,13
W EH R  |  IH Z  |  DH AH  |  OW V AH T IH S  |  DH AE T  |  DH EY  |  P ER S EH S  |  K AA N SH IH S IH Z  | ,Where is the obvious that they possess consciousness?,Where is the evidence that they possess consciousness?,1003.21,115,9
N EH V AH TH AH L OW S  |  AY  |  R OW  |  M AY  |  HH AW S  |  AE Z  |  AY  |  G EH T  |  AH P  | ,Nevertheless I run my house as I get up.,Nevertheless I roll my eyes as I get up.,736.47,112,10
P IY P AH L  |  W IH L  |  D UW  |  IH M UW L IY EY T IY  |  K W AH T EH K S T  |  TH IH NG Z  |  F AO R  |  AH P EY SH AH N  | ,"People will do humiliating, grotesque things for attention.","People will do humiliating, grotesque things for ambition.",830.42,126,12
R EH V ER AH L  |  K AO R AH S P AA N D AH N S  |  HH AE D  |  DH EH R  |  N UW M P ER K S  |  S ER CH T  | ,Reversal correspondence had their numbers searched.,Several correspondents had their notebooks searched.,676.82,113,8
Y UW  |  AE K CH UW AH L IY  |  L UH K  |  F AO R W ER D  |  T UW  |  F AY N S AH Z  |  AO R  |  R IH K OW D Z  |  R EY D IH NG  |  Y AO R  |  K AA M P AH N  | ,You actually look forward to census or records reading your comment.,You actually look forward to foxes or raccoons raiding your garbage.,848.91,142,12
IH T  |  W AA Z  |  G IH V AH N  |  T UW  |  Y UW  |  DH AH  |  M IH N AH T  |  Y UW  |  K AE S T  |  Y AO R  |  P AA L AH N  | ,It was given to you the minute you cast your ballot.,It was given to you the minute you cast your ballot.,914.37,128,12
CH EY K  |  AW T  |  IY P IY  |  K R OW N S D L IH K Z  |  AH N D  |  AH DH ER  |  OW N L AY N  |  S AY N T S  |  F AO R  |  D IY L Z  | ,Check out EPIC price drops and other online sites for deals.,"Check out eBay, Craigslist and other online sites for deals.",832.39,134,13
S AY N  |  AH P  |  F AO R  |  AW ER  |  D EY L IY  |  N UW Z K L EY T ER  |  AH V  |  DH AH  |  T AA P  |  S T AO R IY Z  |  IH N  |  K AH R IY  |  K AA T IY  | ,Sign up for our daily newsletter of the top stories in curry county.,Sign up for our daily newsletter of the top stories in Courier country.,820.67,148,14
S AH CH  |  TH R IH NG Z S  |  AA R  |  AH  |  V AY AH L IH SH AH N  |  AH V  |  DH AH  |  Y UW AH N  |  CH AA R ER  | ,Such things are a violation of the UN Charter.,Such threats are a violation of the UN Charter.,816.11,119,10
N EH V ER  |  M EY K S  |  AH  |  M OW M AH N T  | ,Never makes a moment.,Never miss a moment!,717.36,87,5
HH IY  |  IH Z  |  N AA T  |  M EY K IH NG  |  EH N IY  |  M EY JH ER  |  CH EY N JH AH Z  |  F AO R  |  DH AH  |  R IH M OW S T  | ,He is not making any major changes for the remotes.,He is not making any major changes for the rematch.,820.23,130,12
W ER K S  |  IH Z  |  DH AH  |  EH M P L AH G EY SH AH N  |  AH V  |  P L EY M  | ,Works is the implication of blame.,Worse is the implication of blame.,769.01,102,7
AY  |  D IH D AH N T  |  B AY  |  AH  |  G EH T  | ,I didn't buy a gift.,I didn't buy a kit.,924.65,88,6
W AA CH  |  DH EY  |  HH AE V  |  CH IH L D R AH N  |  OW V ER  |  HH IY R  | ,"Watch, they have children over here.",Once they have children over here.,787.39,100,8
M AY  |  HH AH Z B AH N D  |  AH N D  |  AO L  |  DH AH  |  M EH N  | ,My husband and all the men.,My husband and all the men.,681.83,97,7
AY  |  L AY K  |  JH AH S T  |  L UH K IH NG  |  AE T  |  DH AH  |  B EY B OY L T S  | ,I like just looking at the bagels.,I like just looking at the billboards.,638.61,107,9
DH AE T S  |  T R UW  |  AH V  |  EH N IY  |  S P AO R T  | ,That's true of any sport.,That's true of any sport.,801.88,93,6
AY  |  W UH D  |  N AA T  |  M AY N D  |  IH T  | ,I would not mind it.,I would not mind it.,731.21,88,6
AY M  |  S AH N S ER N D  | ,I'm concerned.,I'm concerned.,672.85,75,3
DH AH  |  M OW T AH V IH SH AH N  |  IH Z AH N T  |  DH EH R  |  F AO R  |  AH  |  L AA T  |  AH V  |  P IY P AH L  | ,The motivation isn't there for a lot of people.,The motivation isn't there for a lot of people.,793.08,121,10
S OW  |  Y UW  |  EH N JH OY  |  G AA T AH N IH NG  | ,So you enjoy gardening.,So you enjoy gardening?,699.67,89,5
SH IY  |  W IH L D  |  IH T  |  AW T  |  AA N  |  AH  |  K AA R T  | ,She wheeled it out on a cart.,She wheeled it out on a cart.,712.3,99,9
W IY R  |  L IH V IH NG  |  L AO NG ER  |  AH N D  |  P IY P AH L  |  AA R  |  L EH S  |  T R AE S T IH NG  | ,We're living longer and people are less trusting.,We're living longer and people are less trusting.,751.57,118,9
DH AH  |  CH OY S  |  IH Z  |  Y UH R Z  | ,The choice is yours.,The choice is yours.,663.8,84,5
T EY K  |  AO F  |  AH N D  |  L IY V  |  Y AO R  |  G R UW P  |  AH N D  |  G OW  |  IH K S P L AO R  | ,Take off and leave your group and go explore.,Take off and leave your group and go explore.,715.88,118,10
AA R  |  Y UW  |  R IY S AY K AH L IH NG  | ,Are you recycling?,Are you recycling?,634.73,83,4
DH EY  |  W AA Z  |  JH AH S T  |  B AE D  |  S AY D  |  IH F EH K T S  | ,There was just bad side effects.,They was just bad side effects.,1135.83,100,7
AY  |  JH AH S T  |  P AA T  |  AH  |  N UW  |  HH AW S  | ,I just bought a new house.,I just bought a new house.,744.77,93,7
IH T S  |  L AY K  |  W IY V  |  L AO S T  |  AW ER  |  V AE L Y ER Z  |  IH N  |  DH IH S  |  K AH N T R IY  | ,It's like we've lost our values in this country.,It's like we've lost our values in this country.,813.9,121,10
IH T  |  IH Z  |  T AY M  |  W IY  |  M EY D  |  DH AE T  |  D IH S IH ZH AH N  |  T AH G EH DH ER  | ,It is time we made that decision together.,It is time we made that decision together.,856.31,114,9
S OW  |  M EH N IY  |  AH V  |  DH EH M  |  N AW AH D IY Z  | ,So many of them nowadays.,So many of them nowadays.,651.78,94,6
S OW  |  IH T S  |  B IH N  |  R IY L  |  F AH N  |  HH IY R  |  T UW  |  S IY  | ,So it's been real fun here to see.,So it's been real fun here to see.,942.52,108,9
W EY Z  |  P AO R N  |  EH K S ER S AY T IH NG  |  B AH T  |  K R IH N F AH L  | ,Weight loss is exciting but painful.,waves born exercising boat grateful,780.78,101,7
SH AA P  |  S P R IH R IH NG  |  M AE TH AH M AE T IH T S  |  D IH V EH L AH P IY  |  N AE N S F AH L  | ,"Sharp, sparkling mathematics develops an answer.",shop spraying mathematics developing nashville,706.72,111,8
G AH N  |  B AA G ER N Z  |  AH L D L AH S  |  P ER S IH S T  |  M IH L Z  | ,"Gun bargains, endless, persist, mills.",run bargains hopeless persists meals,960.22,100,9
K IH T S  |  AH L AW N D  |  M AA N AH K  |  T R AE P  |  Y UW S IH Z  | ,Kids around Monarch Trap uses.,keeps allowed monarch strap uses,728.2,98,6
K AE ZH AH W AH L T IY  |  K AH M Y UW N IH JH AH M  |  AA R G IY  |  F R AH S T  |  R IY S EH P AH K AH L  |  S K R OW L  | ,"Casualty, communism, argue, frost, receptacle, scroll.",casualty communism argue frost receptacle scroll,959.07,125,16
S AH P AO R T IH D  |  AO K AO D IH NG  |  K IY  |  ER AY V  |  G R AE S  | ,Supported according to a Reuters graph.,supported according key arrive crush,821.17,99,7
L EY K IH NG  |  T R AH D IH S AH L  |  Y UW Z D  |  L AE T  | ,Lacking traditional used lat.,playing traditional used flat,792.53,92,6
K ER K AO Z  |  T IY M Z  |  D AA L ER Z  |  K AA N S AH S T R EY SH AH N  |  W IH N Z  |  T AH M P AH N L IY  | ,Cocoa's teams dollars concentration wins company.,turquoise teams dollars concentration wind's stupidly,807.4,118,9
P AE S  |  AH G EH Z D  |  AY T AH L  |  AE G Y AH AH N  |  K R AA P  |  S T IH K  | ,"Processed items include crabs, squid.",pops against idol accurate crop steak,859.72,104,8
EH T  |  D AO R IH NG  |  S AE L OW Z  |  AE NG  |  EH V R IY W AH N  | ,Adoring smiles on everyone.,kept touring shallows hang everyone,737.74,97,6
T ER Z  |  N UW Z  |  AA R N IH NG  |  B AY  |  K AH M EH M T M AH N T  | ,There's no zoning by commitment.,terms news earning by commitment,700.86,98,6
G R AY D EH R AH N S  |  IH K S AE M AH N  |  TH R OW  |  S T EY Z  | ,Gradients examine those states.,grandparents engagement throw stage,968.49,95,6
EH L K  |  D EH M P L AH M AH T IH  |  P L IY Z  |  R IY EY B OW S Z  |  N EY M Z  | ,"Elk, diplomacy, please, re-emboss names.",elk diplomatic plates reimbursed names,870.21,105,13
AY Z  |  EH L D Z  |  B L UW M IH NG  |  K AH M IH NG  |  AH P IH N Y AH N  |  T EY K  | ,"Azaleas blooming, coming, opening, pink.",ice hairs blooming coming opinion take,715.35,105,11
S AH M EH S T ER Z  |  P L EY Z  |  L IY N  |  S EY L Z  |  F ER T AH L EY SH ER Z  |  D IH M EH SH ER  | ,"Semesters, plays, lean sales, fertilizers, dementia.",semesters plans lean zales fertilizers dementia,889.05,113,12
G R EY D  |  N UW K L AH AH S  |  ER AE V  |  AE K S EH Z  |  D IH S T R OY IH NG  | ,"Grade nuclear arms, access, destroying.",grade nucleus arrive excess destroying,692.13,103,8
B AH S AY  |  M IY T IH NG  |  G OW S T  |  M IH N L IY  | ,"Besides, meetings cost money.",bonsai meeting ghost mainly,687.18,92,6
R IY S EH L  |  T EH L IH NG  |  S IH R IY AH S  |  AH N D ER S T AE N D IH NG  |  M AO R AH L  | ,Resell telling serious understanding moral.,resale telling serious understanding moral,753.4,109,7
D EH M AO R AE N T AH K L IY  |  M AH T OW S IH Z  |  K AA M AH N  |  K R AW D  |  P EY N T  | ,"Democratically, Matisse's common crowd paint.",democratically reduces carbon cramped baked,761.9,108,12
W IY R  |  P EY IH NG  |  M AE S K AH T B AO L  |  P IY P IY  | ,"We're playing basketball, people.",We're paying basketball people.,777.53,95,6
IH T  |  S AW N D Z  |  L AY K  |  Y UW  |  HH AE V  |  R IH L IY  |  SH AO R  |  V Y UW Z  |  AA N  |  IH T  | ,It sounds like you have really strong views on it.,It sounds like you have really strong views on it.,863.69,121,11
AA N  |  S AH N T IY  |  DH AH  |  S N OW  |  AH N D  |  AY S  |  K EY M  |  IH N  | ,On Sunday the snow and ice came in.,On Sunday the snow and ice came in.,724.15,107,9
B AH T  |  T R AE S T IH NG  |  T AY M Z  |  K UH D  |  K AO L  |  F AO R  |  R EH S T IH K  |  M EH ZH ER Z  | ,But trying times could call for drastic measures.,But drastic times could call for drastic measures.,675.5,119,9
IY DH ER  |  S EY V AH N S  |  AA R  |  IH N V EH N S M AH N T  | ,Either savings or investment.,Either savings or investment.,746.43,94,5
M EH N T AH F AY D  |  V IH ZH AH N  |  EY B AH L  |  T UW  |  S IY  |  AE T  |  N AY T  | ,Magnified vision able to see at night.,"Magnified vision, able to see at night.",830.19,109,9
AH V  |  K AO R S  |  M AY  |  SH AA B  |  W AA Z  |  S AH CH  |  DH AE T  |  AY  |  D IH D AH N T  | ,Of course my job was such that I didn't.,Of course my job was such that I didn't.,806.76,114,10
P L IY Z AH Z T  |  N AW  |  HH AE V  |  AH  |  N UW  |  V IH ZH AH W AH L  |  AH F EH K T  | ,Pleasant snow has a new visual effect.,Blizzards now have a new visual effect.,682.07,110,9
IH T S  |  L AY K  |  AH  |  JH AH NG K  |  AY  |  HH ER D  |  W AH N S  | ,It's like a joke I heard once.,It's like a joke I heard once.,879.56,101,8
AE F T ER  |  W IY  |  G AA T  |  M EH R IY D  |  W IY  |  M UW V D  | ,After we got married we moved.,After we got married we moved.,656.41,101,7
L AY V  |  W IH TH AW T  |  D IH S ER T  |  F AO R  |  DH AH  |  M OW S T  |  P AA R T  | ,Live without dessert for the most part.,Live without dessert for the most part.,750.74,107,8
AY  |  D OW N T  |  K UH K  |  EH N IY M AO R  | ,I don't cook anymore.,I don't cook anymore.,686.78,87,5
AH  |  L AA T  |  AH V  |  P IY P AH L  |  K AH M P L EY N  | ,A lot of people complain.,A lot of people complain.,757.07,94,6
CH IY T  |  JH AH S T  |  G EH T  |  AA N  |  DH AH  |  F ER S T  |  S T EH P  |  AH N D  |  L IY  |  D AW N  | ,Cheat just get on the first step and lay down.,She'd just get on the first step and lay down.,826.92,123,12
IH T  |  S IY M Z  |  L AY K  |  Y UW  |  G EH T  |  IY T  |  DH AH  |  W AA CH  | ,"It seems like you get it, the watch.",It seems like you get hit the worst.,998.4,107,10
DH EY  |  G AA T  |  R IY L  |  F AE K T  | ,They got real fat.,They got real fat.,824.32,85,5
AY  |  M IY N  |  JH AH S T  |  N AH TH IH NG  | ,I mean just nothing.,I mean just nothing.,708.43,87,5
W AY L  |  M AY  |  AO R D ER Z  |  W AA Z  |  AH  |  Y IH R  |  OW L D  | ,While my orders was a year old.,While my oldest was a year old.,816.01,101,8
S OW  |  IH T  |  W AA Z  |  R IH L IY  |  T UW  |  L EY T  |  T UW  |  D UW  |  M AH CH  | ,So it was really too late to do much.,So it was really too late to do much.,764.54,111,10
AY M  |  T AY ER N D  |  AH V  |  B IY IH NG  |  AH  |  P AA S AH V IH S T  |  DH OW  | ,I'm tired of being a pessimist though.,I'm tired of being a pacifist though.,896.17,106,9
M EY B IY  |  DH EH R  |  K AY T IH NG  |  AA N  |  DH AE T  | ,Maybe they're counting on that.,Maybe they're counting on that.,759.95,93,6
B IY IH NG  |  EY B AH L  |  T UW  |  HH AE V  |  AH  |  CH OY S  | ,Being able to have a choice.,Being able to have a choice.,666.14,97,7
W IY  |  W AA N T  |  T UW  |  S T EY  |  F ER EH V ER  | ,We want to stay forever.,We want to stay forever.,800.48,92,6
AH V  |  K AO R S  |  DH EY  |  EY T  |  AH  |  L AA T  |  AH V  |  S IY  |  F UW D  | ,Of course they ate a lot of seafood.,Of course they ate a lot of sea food.,933.28,109,9
IH T  |  IH Z  |  AE K S T ER M IY T IY  |  AH  |  T OW T AH L  |  AH V  |  TH R IY  |  TH AW Z AH N  |  P AA P AH T IY Z  |  W ER  |  AH F EH K T AH D  | ,It is estimated a total of three thousand properties were affected.,It is estimated a total of three thousand properties were affected.,790.75,142,12
N AA T  |  AO L  |  M IY N  |  P EY  |  DH EH R  |  EH M P L OY IY Z  |  L AE S  | ,Not all mean pay their employees less.,Not all men pay their employees less?,769.17,107,8
AO L S OW  |  N OW N  |  AE Z  |  W IH F IY  | ,Also known as WiFi.,Also known as welfare.,804.03,86,6
DH EH N  |  R IY B UW T  |  DH AH  |  S IH S T AH M  | ,Then reboot the system.,Then reboot the system.,847.1,89,5
DH AH  |  P R IH T AH D  |  AY  |  T R AY D  |  W AA Z  |  DH EH R  |  M EH N IY  |  K AO R N  |  D AO G  |  W IH CH S  |  W ER  |  S AH P OW M  | ,"The product I tried was their mini corn dog, which were superb.",The product I tried was their mini corn dogs which were superb!,814.63,138,14
V IH K EY V ER  |  T IY CH ER  |  V ER Z IH Z  |  D IH S T AH B AH N IY NG  |  AO SH AH N  |  F AO R  |  ER EH S IH NG  |  G EY  |  S T ER D AH N T  | ,Fifth grade teacher versus disturbing notion for raising gay student.,Vancouver Teacher Faces Disciplinary Action for Harassing Gay Student,888.49,135,12
HH AW  |  T UW  |  AH V OY D  |  B IY IH NG  |  T R AE K T  |  AA N  |  DH AH  |  IH N T ER N AH N T  | ,How to avoid being tracked on the internet.,How To Avoid Being Tracked on The Internet,1150.45,115,9
HH IY  |  W AA Z  |  DH AE T  |  IH K S EH SH UW AH L  | ,He was that exceptional.,He was that exceptional.,795.0,89,5
T EH T EH L Z  |  AH V  |  DH IH S  |  P L AE T  |  W ER  |  R IY P AO R T IH D  |  T UW  |  Y IH R Z  |  AH G OW  | ,Details of this plan were reported two years ago.,Details of this plot were reported two years ago.,816.9,122,10
W IY  |  AA R  |  AE K S T AH L UW T L IY  |  AE Z  |  IH N S AY D AH D  |  AH B AW T  |  DH IH S  |  AE Z  |  Y UW  | ,We are absolutely as excited about this as you.,We are absolutely as excited about this as you!,794.87,123,10
W AH T  |  AH DH ER  |  W EH S CH AH N Z  |  W UH D  |  Y UW  |  AE S K  | ,What other questions would you ask?,What other questions would you ask?,734.99,99,7
S OW  |  W AH T  |  AH B AW T  |  DH AH  |  EH N IY AH M IY Z  |  AH V  |  DH AH  |  AH S AY D  |  R AH ZH IY M  | ,So what about the economies of the Assad regime?,"So, what about the enemies of the Assad regime?",682.81,122,10
AH N D  |  IH F  |  AY M  |  S OW  |  P L EY S T  |  B AY  |  DH AH  |  K AA R T  |  AY L  |  D EH V ER  |  HH AE V  |  T UW  |  G ER L  |  AH G EH N  | ,"And if I'm so pleased by the car, I'll never have to go again.","And if I'm so blessed by the gods, I'll never have to kill again.",818.94,142,16
Y AO R  |  B AH TH D IH NG  |  AH N D  |  IY CH  |  W AH N T  |  B IY  |  V IH Z AH B AH L  |  T UW  |  AH DH ER  |  Y UW Z AH Z  | ,Your branding and each word must be visible to other users.,Your birthday and age won't be visible to other users.,981.41,129,12
P L IY Z  |  G IH V  |  M IY  |  AH  |  P AY R AH M IH D IY  | ,Please give me a pyramid.,Please give me a paramedic.,620.15,96,6
AH  |  M EY N D  |  W IH DH  |  AH  |  S M AO L  |  P CH IH CH AH N  |  IH Z  |  AH  |  W ER R D  |  AH V  |  DH AH  |  K AA N V ER M AH N T  | ,A mind with a small perception is a world of the confinement.,A man with a small pension is a ward of the Government.,952.88,135,13
DH IH S  |  W IY K S  |  P IH K  |  IH Z  |  AE N  |  AE K AH L UW DH IH V  |  DH AE T  |  K AE N  |  T AY AH N S Y UW S  |  AH  |  S T R AH G  | ,This week's pick is an alcoholic that can turn into a strong.,This week's pick is an algorithm that can diagnose a stroke.,824.99,136,13
Y EH T  |  DH AH  |  P R EH Z IH D AH N T  |  IH Z  |  N AA T  |  R OW NG L  |  T UW  |  M IY  |  IH G Z EH M P T UW AH N T  |  AE N  |  IH N EY JH D  | ,Yet the president is not wholly to be exempted as an agent.,Yet the president is not wrong to be exasperated and enraged.,789.19,140,14
DH AH  |  B UH CH  |  K AH N UW  |  L AE N D  |  AA N  |  DH AH  |  S P UW TH  |  P L EY K S  | ,The bush canoes land on the smooth place.,The birch canoe slid on the smooth planks.,790.69,110,10
K L R UW  |  DH AH  |  SH IY T  |  T UW  |  DH AH  |  S T AA R K  |  B L UW  |  P R AE K R ER AE D  | ,Glue the sheet to the stark blue background.,Glue the sheet to the dark blue background.,860.06,114,9
