sample_id,phonemes,prediction,ground_truth,time_ms,tokens_in,tokens_out
t15.2023.09.24_b9_t22,AH  |  F AY N  |  P R AH F EH SH AH N  | ,A fine profession,A fine profession.,826.76,80,6
t15.2023.09.24_b9_t23,AO L  |  DH AH  |  M AH N IY  | ,All the money,All the money.,816.56,77,6
t15.2023.09.24_b9_t24,DH AH  |  TH IH NG  |  DH AE T  |  SH UH D  |  B IY  | ,The thing that should be,The thing that should be.,829.64,88,8
t15.2023.09.29_b3_t0,IH F  |  Y UW  |  AA R  |  K AH N F ER S T  |  DH AE T  |  IH T  |  IH Z  |  DH AH  |  R AY T  |  CH OY S  | ,If you are confident that it is the right choice,If you are convinced that it is the right choice.,880.28,118,13
t15.2023.09.29_b3_t1,B IH K AO Z  |  DH AE T S  |  P R AH F AH K L IY  |  K L IY N  | ,Because that's perfectly clean,Because that's perfectly clean.,838.23,94,7
t15.2023.09.29_b3_t2,M EY K  |  HH IH M  |  F IY L  |  L AY K  |  HH IY  |  W AA Z AH N T  |  W AO N T IH D  | ,Make him feel like he wasn't wanted,Make him feel like he wasn't wanted.,826.4,108,10
t15.2023.09.29_b3_t3,W IY  |  D IH S AY D IH D  |  T UW  |  S T EY  | ,We decided to stay,We decided to stay.,821.15,86,7
t15.2023.09.29_b3_t4,DH EH R  |  JH AH S T  |  S OW  |  S AH S T EH N SH F AH L  | ,There just so suspenseful,They're just so suspenseful.,697.72,91,8
t15.2023.09.29_b3_t5,AY  |  D OW N T  |  L AY K  |  AH D M IH T AH SH EY SH AH N  | ,I don't like admiration,I don't like administration.,728.65,90,7
t15.2023.09.29_b3_t6,D IH D  |  Y UW  |  HH AE V  |  T UW  |  D UW  |  DH AE T  | ,Did you have to do that,Did you have to do that?,725.31,92,9
t15.2023.09.29_b3_t7,AY  |  R IH L IY  |  EH N JH OY  |  DH AE T  |  T IY M  | ,I really enjoy that team,I really enjoy that team.,811.14,93,8
t15.2023.09.29_b3_t8,AY  |  K AE N T  |  TH IH NG K  |  AH V  |  IH Z  |  N EY M  |  N AW  | ,I can't think of his name now.,I can't think of his name now.,1568.18,98,11
t15.2023.09.29_b3_t9,IH N  |  F AE K T  |  DH AH  |  F ER S T  |  HH IY R  |  W IY  |  W ER  |  M EH R IY D  | ,In fact the first year we were married,In fact the first year we were married.,898.91,110,11
t15.2023.09.29_b3_t10,AY V  |  G AA T  |  AH  |  T UW  |  Y IH R  |  OW L D  | ,I've got a two year old,I've got a two year old.,1394.04,91,9
t15.2023.09.29_b3_t11,DH AE T S  |  W AH T  |  DH AH  |  D IH F ER AH N T  |  T AY P S  |  AA R  | ,That's what the different types are.,That's what the different types are.,782.15,99,10
t15.2023.09.29_b3_t12,W EH N  |  AY  |  K EY M  |  B AE K  |  HH IY R  | ,When I came back here,When I came back here.,781.4,88,8
t15.2023.09.29_b3_t13,B IH K AO Z  |  SH IY  |  M EY K S  |  K L OW DH Z  | ,Because she makes clothes,Because she makes clothes.,788.7,88,7
t15.2023.09.29_b3_t14,AY  |  D OW N T  |  W AO D ER  |  DH EH M  |  AO R  |  EH N IY TH IH NG  | ,I don't want them or anything,I don't water them or anything.,765.89,98,9
t15.2023.09.29_b3_t15,AY  |  D IH D  |  W EH L  |  IH N  |  S K UW L  | ,I did well in school,I did well in school.,753.77,87,8
t15.2023.09.29_b3_t16,AH  |  P R AH D IH SH ER  |  AH V  |  M UW V IY Z  |  IH N  |  P AA K T AH M AO R  |  K AO L D  | ,A producer of movies in Pocktomore called,A producer of movies in Baltimore called.,909.68,110,13
t15.2023.09.29_b3_t17,JH AH S T  |  AO L  |  D IH F ER AH N T  |  K AA L IH Z  | ,Just all different colleges,Just all different colors.,840.1,90,7
t15.2023.09.29_b3_t18,B AA B IY K EY Z  |  AH N D  |  M AE S IH K AH N  |  F UW D  | ,Barbecue's and Mexican food,Barbecues and Mexican food.,900.55,92,9
t15.2023.09.29_b3_t19,K AH N K AE K Y AH L UW SH AH N Z  |  AA N  |  DH AE T  | ,Conclusions on that,Congratulations on that.,1258.55,87,7
t15.2023.09.29_b3_t20,IH K S P EH SH L IY  |  N AA T  |  IH N  |  S AH M  |  AH V  |  DH IY Z  |  B IH G  |  S IH T IY Z  | ,Especially not in some of these big cities.,Especially not in some of these big cities.,938.86,115,12
t15.2023.09.29_b3_t21,AY  |  HH AE V  |  M AY  |  OW N  |  P AA L AH S IY  |  AA N  |  F R IY L AA T IH S  | ,I have my own policy on free lattes,I have my own policy on freeloaders.,1026.95,106,12
t15.2023.09.29_b3_t22,DH AH  |  N ER S IH NG  |  HH OW M  | ,The nursing home,The nursing home.,733.04,78,6
t15.2023.09.29_b3_t23,S K L OW K AH L  |  AH P  |  T UW  |  Y UW  | ,Slow call up to you,Snuggle up to you.,777.17,84,8
t15.2023.09.29_b3_t24,AY  |  D OW N T  |  N OW  |  IH F  |  Y UW V  |  HH ER D  |  AH V  |  HH ER  | ,I don't know if you've heard of her,I don't know if you've heard of her.,859.59,102,11
t15.2023.09.29_b4_t0,B AH T  |  B R IH NG IH NG  |  DH AH  |  P R AA R T IY  |  T AH G EH DH ER  |  W IH L  |  B IY  |  IY Z IY ER  |  S EH D  |  DH AE N  |  D AH N  | ,But bringing the party together will be easier said than done.,But bringing the party together will be easier said than done.,964.2,137,15
t15.2023.09.29_b4_t1,AY  |  HH AE V  |  S IY N  |  S OW  |  M EH N IY  |  HH UW  |  N OW  |  DH AE T  |  G AA R D  |  AE Z  |  N AA T  |  G IH V AH N  |  AH S  |  AH  |  S P IH R IY AH T  |  AH V  |  F IH R  | ,I have seen so many who know that God has not given us a spirit of fear,I have seen so many who know that God has not given us a spirit of fear.,1087.97,162,20
t15.2023.09.29_b4_t2,AY  |  T R AY  |  T UW  |  IH M P R OY S  |  IH T  | ,I try to improve it,I try to embrace it.,862.22,89,8
t15.2023.09.29_b4_t3,W IY  |  AO L  |  N OW  |  DH AE T  |  AH N F AO S AH N AH T L IY  |  S K UW L Z  |  AA R  |  N AA T  |  AO L W EY Z  |  DH AH  |  S IH F AH N S  |  P L EY S AH Z  | ,We all know that unfortunately schools are not always the safest places.,"We all know that, unfortunately, schools are not always the safest places.",1181.32,146,16
t15.2023.09.29_b4_t4,N OW  |  N EY NG Z  |  HH AE V  |  B IH N  |  R IY P AO R T IH D  |  IH N  |  DH AH  |  S IH T IY  | ,"Now, nine things have been reported in the city.",No deaths have been reported in the city.,873.31,113,14
t15.2023.09.29_b4_t5,HH IY  |  HH AE Z  |  N OW  |  K R IH M AH N AH L  |  K AH N F IH N SH AH N S  | ,He has no criminal convictions.,He has no criminal convictions.,816.66,100,9
t15.2023.09.29_b4_t6,TH AE NG  |  Y UW  |  F AO R  |  S AY N IH NG  |  AH P  | ,Thank you for signing up,Thank you for signing up.,701.71,89,8
t15.2023.09.29_b4_t7,DH IH S  |  IH Z  |  DH AH  |  P R AY S  |  P EY D  |  F AO R  |  K AW N D IH NG  |  IH N Z  |  R AE DH ER  |  DH AE N  |  CH IH K AH N  |  EH P IY AH N S  | ,This is the price paid for counting ins rather than chicken appeons.,This is the price paid for counting eggs rather than chicken embryos.,1013.99,140,17
t15.2023.09.29_b4_t8,K L AE S L IY  |  G R UW  |  AH P  |  AA N  |  AH  |  F AE M AH L IY  |  F AA R M  |  W EH R  |  HH IY  |  S T IH L  |  W AA T S  | ,Classly grew up on a family farm where he still wats,"Grassley grew up on a family farm, where he still works.",1100.58,132,16
t15.2023.09.29_b4_t9,W IY  |  D AH S ER T IH D  |  T UW  |  AE S K  |  DH EH M  | ,We deserted to ask them,We decided to ask them.,1000.42,92,8
t15.2023.09.29_b4_t11,AH N D  |  EH V R IY W AH N  |  IH F AA L V D  |  IH N  |  DH AH  |  K EY S  |  B AO R  |  DH AH  |  T JH UH R IY  |  AH N D  |  B IH N  |  HH IY R  |  B IH F AO R  | ,And everyone involved in the case bore the jury and been here before.,"And everyone involved in the case, bar the jury, had been here before.",1028.98,149,17
t15.2023.09.29_b4_t12,AH  |  T AO K  |  IH Z  |  F IH K CH ER N D  |  B IH L OW  |  DH AH  |  T EY K S  | ,A talk is fictioned below the takes,A dog is featured below the text.,975.47,103,11
t15.2023.09.29_b4_t13,L OW  |  AH N D  |  B IH K AO L D  |  DH EY  |  D IH D  |  N AA T  | ,Lo and behold they did not,"Lo and behold, they did not.",869.47,96,9
t15.2023.09.29_b4_t14,HH UW  |  S OW  |  Y UW  |  N IY D  |  T UW  |  P UH T  |  AH W EY  |  DH AH  |  M IH L K  |  AH N D  |  S K EH R IY AH L  | ,Who so you need to put away the milk and cereal,"Oh, so you need to put away the milk and cereal?",1135.48,127,14
t15.2023.09.29_b4_t16,EH V R IY TH IH NG  |  T R AH M P  |  W AH N Z  |  T UW  |  D UW  |  TH ER K AH N S  |  EH V R IY TH IH NG  |  T R AH D OW  |  W AA Z  |  T UW  |  D UW  | ,Everything Trump wants to do there comes everything Trudeau was to do,Everything Trump wants to do threatens everything Trudeau wants to do.,1116.38,139,15
t15.2023.09.29_b4_t17,P IY T ER  |  W AA Z  |  IH N  |  B IH N  |  W EH N  |  AY  |  W AO K T  |  IH N T UW  |  DH AH  |  B EH ZH R UW M  | ,Peter was in bed when I walked into the bedroom.,Peter was in bed when I walked into the bedroom.,1186.08,123,14
t15.2023.09.29_b4_t18,HH AW  |  D AH Z  |  SH IY  |  L AY V  |  W IH DH  |  HH ER S EH L F  | ,How does she live with herself,How does she live with herself?,850.29,97,9
t15.2023.09.29_b4_t19,AY M  |  N AA T  |  IY V IH N  |  D IH S P UW T IH NG  |  DH AH  |  W R AY Z AH L Z  |  AH V  |  DH AH  |  B AO OY N  | ,I'm not even disputing the results of the boil.,I'm not even disputing the results of the board.,1033.74,122,14
t15.2023.09.29_b4_t20,AH N D  |  ER R AH K AH N  |  AH S EY  |  AH N D  |  N AA T  |  T ER N D  |  N AO R TH  |  DH AE T  | ,"And a reckoning, I say, and not turned north that",And Hurricane Jose had not turned north yet.,1535.05,112,16
t15.2023.09.29_b4_t21,DH AH  |  T UW  |  HH AE V  |  S IH N S  |  T EY K AH N  |  S AH M  |  S T EH P S  |  P AO R T S  |  AH  |  R IH P R AA N M AH N T  | ,The two have since taken some steps towards a reprimand.,The two have since taken some steps toward a rapprochement.,1055.91,129,15
t15.2023.09.29_b4_t22,B AH T  |  DH EH R  |  HH AE V  |  AO F AH N  |  B IH N  |  T AY M Z  |  W EH N  |  T ER K IH NG  |  AE Z  |  B IH N  |  AH  |  P R AA B L AH M IH T IH K  |  IH L ER  | ,But there have often been times when talking has been a problematic iller.,But there have often been times when Turkey has been a problematic ally.,929.35,146,18
t15.2023.09.29_b4_t23,CH EH K  |  AW T  |  DH AH  |  N UW  |  S EH L D Z  |  AA D T AH V Z  | ,Check out the new Selds additives.,Check out the new Sales items!,969.38,97,12
t15.2023.09.29_b4_t24,AY  |  JH AH S T  |  T UW S T AO R T  |  DH EH R  |  AH N D  |  S AO R T  |  IH T  |  AO L  |  AH P  | ,I just to start there and sort it all up,I just stood there and soaked it all up.,1024.58,115,13
t15.2023.10.01_b7_t1,DH AE T S  |  AH  |  G UH D  |  W EY  |  T UW  |  G EH T  |  S T AA R T IH D  | ,That's a good way to get started.,That's a good way to get started.,838.28,102,11
t15.2023.10.01_b7_t2,AY  |  W AA Z  |  AA N  |  T R EH N S IH Z  | ,I was on trances,I was on crutches.,715.9,84,8
t15.2023.10.01_b7_t3,W EH N  |  Y UW  |  S T AH M  |  T UW  |  TH IH NG  |  AH V  |  IH T  | ,When you stumble to think of it,When you stop to think of it.,1100.17,98,10
t15.2023.10.01_b7_t4,IH T  |  K AY N D  |  B IY  |  Y UW Z D  |  T UW  |  HH AE Z S AH L  |  S AH M B AH N IY  | ,It kind of be used to hassle somebody.,It could be used to hassle somebody.,1069.22,109,12
t15.2023.10.01_b7_t5,AH M EH R IH K AH  |  IH Z  |  L IY Z IH NG  |  IH T  | ,America is leasing it,America is losing it.,877.64,88,7
t15.2023.10.01_b7_t6,AY  |  D OW N T  |  N OW  |  W EH DH ER  |  Y UW  |  D IH D  |  Y IH R Z  |  F ER S T  | ,I don't know whether you did yours first,I don't know whether you did yours first.,790.5,107,11
t15.2023.10.01_b7_t7,DH AH  |  S T IY K IH NG  |  K L AE D  |  G R OW S  |  AH N D ER  |  DH AH  |  K AA R P AH N  | ,The stinking clad grows under the carpen,The sticky slide rugs under the carpet.,1012.1,109,12
t15.2023.10.01_b7_t8,AY  |  TH IH NG K  |  DH AH  |  M ER JH AO R T IY  |  AA R  |  IH N  |  DH AE T  | ,I think the majority are in that,I think the majority are in that.,880.45,103,10
t15.2023.10.01_b7_t9,DH AH  |  P IY P AH L  |  AY  |  N OW  |  AA R  |  F R AH M  |  DH EH R  | ,The people I know are from there,The people I know are from there.,1179.36,100,10
t15.2023.10.01_b7_t10,AY  |  HH AE V AH N T  |  S IY N  |  T UW  |  M EH N IY  |  L EY T L IY  | ,I haven't seen too many lately.,I haven't seen too many lately.,899.0,101,10
t15.2023.10.01_b7_t11,AY V  |  OW N L IY  |  S IY N  |  HH IH M  |  IH N  |  F AE N IY  |  S T AH F  | ,I've only seen him in funny stuff,I've only seen him in funny stuff.,831.24,105,10
t15.2023.10.01_b7_t12,F AO R  |  AH  |  D IH F ER AH N T  |  S EH K SH AH N  | ,For a different section,For a different section.,923.64,88,7
t15.2023.10.01_b7_t13,DH EH R  |  M AH DH ER  |  W AA Z  |  S IH K  |  AE T  |  T AY M Z  | ,Their mother was sick at times,Their mother was sick at times.,792.99,96,9
t15.2023.10.01_b7_t14,W EH L T IH N AH N  |  HH AE D  |  N UW  |  R IH G R EH S T  |  AH B AW T  |  HH ER  |  D IH S IH ZH AH N  | ,Lieutenant had no regrets about her decision.,Wilkinson had no regrets about her decision.,1103.07,114,12
t15.2023.10.01_b7_t15,M AY  |  TH R IY  |  Y IH R  |  OW L D  | ,My three year old,My three year old.,996.69,83,7
t15.2023.10.01_b7_t16,AY  |  R IH L IY  |  JH AH S T  |  S T AA R T IH D  | ,I really just started,I really just started.,745.86,89,7
t15.2023.10.01_b7_t17,IH F  |  Y UH R  |  AA N  |  AH  |  T R IH P  |  AO R  |  S AH M TH IH NG  | ,If you're on a trip or something,If you're on a trip or something.,1022.93,100,10
t15.2023.10.01_b7_t18,SH IY  |  AE N D AH L Z  |  IH T  |  P R IH T IY  |  W EH L  | ,She handles it pretty well,She handles it pretty well.,828.48,94,8
t15.2023.10.01_b7_t19,W IY  |  R EH N  |  IH N T UW  |  S AH M  |  P R AA B L AH M Z  | ,We ran into some problems,We ran into some problems.,927.04,95,8
t15.2023.10.01_b7_t20,AY  |  JH AH S T  |  G AA T  |  DH AH  |  N UW  |  IH SH UW R  | ,I just got the new issuer,I just got the new issue.,906.64,94,9
t15.2023.10.01_b7_t21,Y UW L  |  S T IH L  |  S IY  |  P IY P AH L  | ,You’ll still see people,You'll still see people.,922.27,87,8
t15.2023.10.01_b7_t22,T UW  |  S EH P ER EY T  |  DH AH  |  N UW Z  |  F R AH M  |  DH AH  |  K AH M EH N T  | ,To separate the news from the comment,To separate the news from the comment.,938.96,105,10
t15.2023.10.01_b7_t23,L AY K  |  DH AH  |  OW L D  |  EY K  |  W IH Z ER Z  | ,Like the old ache wizards,Like the old Hank Williams.,944.92,89,9
t15.2023.10.01_b7_t24,AY  |  W UH D  |  W ER K  |  IH N  |  DH AH  |  S AH M B ER  | ,I would work in the summer,I would work in the summer.,823.95,93,9
t15.2023.10.01_b8_t0,D EY L ER  |  AH N T R IH JH AH D AH D  |  DH IH S  |  T UW  |  K AA N V ER N M EY ZH AH N  |  B AY AH Z  | ,Dealer untrijadad this to convernmation bias,Taylor attributed this to confirmation bias.,1164.74,113,16
t15.2023.10.01_b8_t1,W IY  |  AH P AE L IH JH AY N Z  |  B AH T  |  DH IH S  |  V IH D IY OW  |  AE Z  |  F AW N D  |  T UW  |  L ER N  | ,We apologize but this video as found to learn,"We apologize, but this video has failed to load.",837.0,122,12
t15.2023.10.01_b8_t2,G OW  |  T AO G  |  T UW  |  HH ER  |  IH N  |  DH AH  |  L AY B IY  |  AY L  |  B IY  |  R AY T  |  D AW N  | ,"Go talk to her in the library, I'll be right down.","Go talk to her in the lobby, I'll be right down!",991.48,121,16
t15.2023.10.01_b8_t3,DH IH S  |  P R AA JH EH N T  |  AE Z  |  B IH N  |  AH  |  R IY L  |  T IY M  |  EH V ER N  | ,This project has been a real team effort.,This project has been a real team effort.,966.44,112,12
t15.2023.10.01_b8_t4,HH IY  |  K AE N  |  K AH N S IH S T AH N T L IY  |  S T AO R  |  DH AH  |  D EY M AH JH  |  Y UW  |  N IY D  |  T UW  |  T R AY AH L  |  Y AO R  |  AE N  |  IH N T UW  |  P L EY  | ,He can consistently store the damage you need to trial your an into play,He can consistently score the damage you need to prowl your hand into play.,937.36,157,17
t15.2023.10.01_b8_t5,DH IH S  |  IH Z  |  EY T IH NG  |  P AW R D ER Z  |  R IY V IH Z IH D AH N  | ,This is a ting powders revisited.,This is headache powders revisited.,1037.95,99,11
t15.2023.10.01_b8_t6,AH N D ER S T AE N D IH NG  |  DH AH  |  M OW B AH L  |  K L AE S EY M  | ,Understanding the mobile class name,Understanding the mobile landscape.,1536.81,95,8
t15.2023.10.01_b8_t7,T R AH P  |  AE Z  |  N AH M AH N IY T IY  |  W EY ZH ER M  |  B AA R  |  AE Z  |  DH AH  |  N EH K S T  |  AH T ER N IY  |  JH IH M ER AH L  | ,Trump as nominee T. Weizherm bar as the next attorney general,Trump has nominated William Barr as the next attorney general.,1072.59,136,18
t15.2023.10.01_b8_t8,M B AE S K W EH L  |  TH IH NG Z  |  AH  |  S EH M AH L ER  |  HH AA R G Y AH M AH N T  |  SH UH D  |  B IY  |  M EY D  |  F AO R  |  S ER S  |  IH N D AH N D Z  | ,Maxwell thinks a similar argument should be made for source indolence.,Pasquale thinks a similar argument should be made for search engines.,1176.06,143,18
t15.2023.10.01_b8_t9,DH AH  |  HH AH R K Y AH L IY Z  |  AH N D  |  R EY B AH L  |  S T AE K  |  M IY D AH L Z  |  AY  |  HH AH L AH N Z  |  HH IY R  | ,The Hercules and rebel stack medals I Helen’s here,The Hercules and rainbow stag beetles are highlights here.,875.46,128,13
t15.2023.10.01_b8_t10,AH  |  V IH ZH AH W AH L  |  K AH M P EH R AH S AH N T  |  AH V  |  V EH R IY AH Z S  |  D IH S T AH S T IH Z  | ,A visual comparison of various distances,A Visual Comparison of Various Distances,852.51,116,9
t15.2023.10.01_b8_t11,AY  |  K UH D  |  HH IY R  |  M AY  |  AE K S EH L ER EY T IH D  |  B R IY DH IH NG  | ,I could hear my accelerated breathing,I could hear my accelerated breathing.,1242.57,104,9
t15.2023.10.01_b8_t12,DH AH  |  N UW Z  |  AH N D  |  S T AO R IY Z  |  DH AE T  |  M AE T ER  |  D IH L EH V ER D  |  W EH N T EY  |  W AO R N IH N Z  | ,The news and stories that matter delivered with warnings.,"The news and stories that matter, delivered weekday mornings.",1000.97,127,13
t15.2023.10.01_b8_t13,W IH CH  |  AH M IH K AH  |  G EY V Z  |  IH M P R EH S T  |  Y UW  |  IH T  |  T AH M Z  |  AH V  |  K EH M P L EY  |  AO R  |  S EH N AH K AH L  |  T R IY SH  | ,Which Amica gives impressed you it terms of gameplay or cynical trish,Which Amiga games impressed you in terms of gameplay or technical tricks?,1089.39,144,17
t15.2023.10.01_b8_t14,AO L S OW  |  AE T  |  DH AE T  |  G AY M  |  W IY  |  W ER  |  S T AA R T IH NG  |  T UW  |  HH EY T  |  IH Z  |  AH DH ER  |  AH  |  L IH T AH L  |  B IH T  | ,Also at that game we were starting to hate is other a little bit,"Also, at that time we were starting to hate each other a little bit.",950.3,144,17
t15.2023.10.01_b8_t15,AA R  |  IY DH ER  |  AO R  |  B OW TH  |  D AH Z  |  D IH S IH D ER D  |  D EY N ER AH S  |  AH N D ER  |  D EH V AH S  |  K AW N D IY  |  AA R T AH N IH S T S  | ,Are either or both does disordered dangerous under thevis counties are tonists,Are either or both dogs considered dangerous under Davis County ordinance?,1187.82,143,18
t15.2023.10.01_b8_t16,K AY R T AH D  |  AH N D  |  D EH V AH K HH AH L T IY  |  K AA N K Y AH L EY SH AH N Z  | ,Cited and difficult calculations,Target and Difficulty Calculations,842.93,103,8
t15.2023.10.01_b8_t17,W AH T  |  IH Z  |  B IY V  |  JH OY K IY  |  EH N IY W EY  | ,What is beef jerky anyway,"What is beef jerky, anyway?",1045.1,96,9
t15.2023.10.01_b8_t18,DH AH  |  W EH N T AH N T IY  |  Y UW  |  JH UW Z  |  IH K S EH N T S  |  DH AH  |  K W AA N T AH T IY  |  IH V IY L AH B AH L  | ,The when’tenty you choose extends the quantity available,The quantity you chose exceeds the quantity available.,900.88,127,13
t15.2023.10.01_b8_t19,B AH T  |  IY V IH N  |  AE T  |  IH T S  |  M OW S T  |  S AY AH N T IH F IH NG  |  DH AH  |  K AA N S EH P  |  IH Z  |  S AH M P AH L  | ,But even at its most scientificing the concept is someple,"But even at its most scientific, the concept is simple.",1019.56,131,15
t15.2023.10.06_b6_t0,AA R  |  DH EY  |  DH AH  |  S EY M  |  DH EH R  | ,Are they the same there,Are they the same there?,921.27,86,8
t15.2023.10.06_b6_t1,IH Z  |  IH T  |  AH  |  G AH V AH N T IY  |  AO R  |  AH  |  R IY L  |  K AO N  |  AH V  |  IH M P AO R T AH N T S  | ,Is it a government or a real con of importance?,Is it a novelty or a real coin of importance?,1025.14,124,14
t15.2023.10.06_b6_t2,W AO N T ER  |  IH N T UW  |  DH IH S  |  B OW L  | ,Water into this bowl,Water into this bowl.,938.09,86,7
t15.2023.10.06_b6_t3,W IY  |  JH AH S T  |  L EH F T  |  IH T  |  AH L OW N  | ,We just left it alone.,We just left it alone.,1551.4,92,9
t15.2023.10.06_b6_t4,Y UW  |  K AE N  |  AO L W EY Z  |  IH T  |  IH T  |  AH P  |  AH G EH N  | ,You can always eat it up again.,You can always heat it up again.,1400.23,100,11
t15.2023.10.06_b6_t5,T R AY IH NG  |  T UW  |  F AY N D  |  S AH M W AH N  |  AE T  |  HH OW M  | ,Trying to find someone at home,Trying to find someone at home.,1322.42,99,9
t15.2023.10.06_b6_t6,SH AO R T  |  AH V  |  L AY K  |  AE N  |  IH N S EY N JH  |  P R OW G R AE M  | ,Short of like an insane program,Sort of like an exchange program.,1440.28,102,9
t15.2023.10.06_b6_t7,AY  |  D OW N T  |  N OW  |  HH AA  |  W IY  |  K UH D  |  M EY K  |  IH T  |  M AO R  |  F EH R  | ,I don't know how we could make it more fair.,I don't know how we could make it more fair.,1127.3,115,14
t15.2023.10.06_b6_t8,B EH T ER  |  DH AE N  |  Y UH R AH P D  | ,Better than your up’d,Better than Europe.,1116.57,81,8
t15.2023.10.06_b6_t9,T UW  |  G OW  |  AW T  |  F IH SH IH NG  |  IH N  |  AH  |  B IH T  | ,To go out fishing in a bit,To go out fishing in a boat.,927.52,97,10
t15.2023.10.06_b6_t10,AH B AW T  |  F AO R  |  HH AH N D R AH D  |  SH EH D  |  AH P  | ,About four hundred shed up,About four hundred showed up.,821.29,93,8
t15.2023.10.06_b6_t11,W IY  |  K EY M  |  F R AH M  |  L IY V IH NG  |  IH N  |  AH  |  K AA N T OW  |  F AO R  |  D AY N  |  Y IH R Z  | ,We came from leaving in a condo for nine years,We came from living in a condo for nine years.,1021.84,123,13
t15.2023.10.06_b6_t12,DH EY  |  W ER  |  P R IH T IH NG  |  M AH CH  |  IH N  |  G UH D  |  T EY S  | ,They were printing much in good taste.,They were pretty much in good taste.,922.55,101,11
t15.2023.10.06_b6_t13,AY  |  N EH V ER  |  K W AY T  |  F AW N D  |  AH  |  N UW  |  Y AO R K  |  F AE N  | ,I never quite found a New York fan,I never quite found a New York fan.,860.4,106,11
t15.2023.10.06_b6_t14,B IH F AO R  |  Y UW  |  R IH AH L AY Z  |  EH N IY TH IH NG  |  IH Z  |  G OW IH NG  |  AA N  | ,Before you realize anything is going on,Before you realize anything is going on.,897.48,108,10
t15.2023.10.06_b7_t0,W EH N  |  AY M  |  AH P  |  HH IY R  | ,When I'm up here,When I'm up here.,802.07,82,7
t15.2023.10.06_b7_t1,AH N D  |  DH AE T S  |  W AH T  |  IH T  |  F AA Z  |  AH N D ER  | ,And that's what it falls under.,And that's what it falls under.,758.61,96,10
t15.2023.10.06_b7_t2,AY  |  N EH V ER  |  G OW  |  T UW  |  DH AH  |  F IH SH AH N  |  S EH K S AH N  | ,I never go to the fishing section.,I never go to the fiction section.,979.41,102,11
t15.2023.10.06_b7_t3,AW ER  |  S L IY P IH NG  |  P EY S  |  AY  |  G AE S  | ,"Our sleeping pace, I guess.",Our sleeping bags I guess.,911.09,90,10
t15.2023.10.06_b7_t4,SH IY  |  TH IH NG Z  |  L AY K  |  DH AE T  | ,She things like that,See things like that.,743.22,84,7
t15.2023.10.06_b7_t5,AY  |  D OW N T  |  G EH T  |  DH AE T  | ,I don't get that,I don't get that.,883.29,82,7
t15.2023.10.06_b7_t6,W IY R  |  G OW IH NG  |  T UW  |  HH AE V  |  T UW  |  D UW  |  S AH M TH IH NG  | ,We're going to have to do something,We're going to have to do something.,860.09,103,10
t15.2023.10.06_b7_t7,AY  |  W AA Z AH N T  |  R IH L IY  | ,I wasn't really,I wasn't really.,887.99,80,6
t15.2023.10.06_b7_t8,W IY  |  TH IH NG K  |  IH T S  |  G UH D  | ,We think it's good,We think it's good.,720.42,84,7
t15.2023.10.06_b7_t9,IH T  |  IH Z  |  IH N  |  AH G R IY M AH N T  |  W IH DH  |  IH T S  |  P R AH V IH ZH AH N Z  | ,It is in agreement with its provisions,It is in agreement with its provisions.,747.27,111,10
t15.2023.10.06_b7_t10,AY  |  K AE N  |  R IH L IY  |  T EH L  |  DH AH  |  D IH F ER AH N S  | ,I can really tell the difference,I can really tell the difference.,2239.91,98,9
t15.2023.10.06_b7_t11,DH AH  |  L AE S T  |  B UH K  |  AY  |  R EH D  | ,The last book I read,The last book I read.,1731.79,87,8
t15.2023.10.06_b7_t12,OW M OW Z T  |  L AY K  |  AH  |  D IH L L IH NG  | ,Almost like a drilling,Almost like a tingling.,786.03,86,7
t15.2023.10.06_b7_t13,AY  |  TH IH NG K  |  DH AE T  |  K UH D  |  W ER K  |  AE Z  |  AH  |  T OY  | ,I think that could work as a toy.,I think that could work as a toy.,952.34,103,12
t15.2023.10.06_b7_t14,AY  |  N OW T IH S T  |  DH OW Z  |  T AE K Z S  | ,I noticed those taxes,I noticed those dogs.,757.71,86,7
t15.2023.10.06_b7_t15,DH OW Z  |  G EY M Z  |  AA R  |  F AH N  |  T UW  |  W AA CH  | ,Those games are fun to watch,Those games are fun to watch.,754.66,94,9
t15.2023.10.06_b7_t16,TH IH NG Z  |  AH V  |  DH AE T  |  T IH SH ER  |  W IH CH  |  B EY D  |  AH S  |  F IY L  |  G UH D  | ,Things of that t-shirt which made us feel good,Things of that nature which made us feel good.,1151.18,114,13
t15.2023.10.06_b7_t17,W AH T  |  K AY N D  |  AH V  |  D AO G  |  T UW  |  Y UW  |  HH AE V  | ,What kind of dog do you have?,What kind of dog do you have.,1021.36,99,11
t15.2023.10.06_b7_t18,DH EY  |  AA R  |  G OW IH NG  |  T UW  |  G EH T  |  AH  |  G AO N  |  N OW  |  M AE T ER  |  W AY T  | ,They are going to get a gone no matter what,They are going to get a gun no matter what.,847.52,115,13
t15.2023.10.06_b7_t19,AH  |  L IH T AH L  |  B R IY V  |  AO T OW  |  B IH K AE G AH S IY  |  AH V  |  DH IH S EH L V Z  | ,A little brief auto bicagacy of thyselves,A little brief autobiography of themselves.,842.95,112,14
