prediction,ground_truth,wer,errors,ref_words
Making traditional used flat.,playing traditional used flat,0.25,1,4
Kirkos Teves dollars concentration wins temporarily.,turquoise teams dollars concentration wind's stupidly,0.6666666666666666,4,6
"Pass against little action, crap stick.",pops against idol accurate crop steak,0.8333333333333334,5,6
It during slows and everyone.,kept touring shallows hang everyone,0.8,4,5
There's news arning by comment.,terms news earning by commitment,0.6,3,5
Grandparents examine throw stays.,grandparents engagement throw stage,0.5,2,4
Help diplomatically please rephrase names.,elk diplomatic plates reimbursed names,0.8,4,5
First three clips done.,first terror slips done,0.5,2,4
"High yields, blooming, coming up in your tank.",ice hairs blooming coming opinion take,1.0,6,6
"Semester's plays lean sales, fertilizers, dementia.",semesters plans lean zales fertilizers dementia,0.5,3,6
Grade nuclear Arab access destroying.,grade nucleus arrive excess destroying,0.6,3,5
My sight seeing goes mainly.,bonsai meeting ghost mainly,1.0,4,4
Resale telling serious understanding moral.,resale telling serious understanding moral,0.0,0,5
"Democratically, Matos is common crowd paint.",democratically reduces carbon cramped baked,1.0,5,5
We're paying basketball people.,We're paying basketball people.,0.0,0,4
It sounds like you have really strong views on it.,It sounds like you have really strong views on it.,0.0,0,10
And soon the snow and ice came in.,On Sunday the snow and ice came in.,0.25,2,8
But trying times could call for drastic measures.,But drastic times could call for drastic measures.,0.125,1,8
Either savings or investments.,Either savings or investment.,0.25,1,4
Personified vision able to see at night.,"Magnified vision, able to see at night.",0.14285714285714285,1,7
Of course my job was such that I didn't.,Of course my job was such that I didn't.,0.0,0,9
Places now have a new visual effect.,Blizzards now have a new visual effect.,0.14285714285714285,1,7
It's like a joke I heard once.,It's like a joke I heard once.,0.0,0,7
After we got married we moved.,After we got married we moved.,0.0,0,6
Live without dessert for the most part.,Live without dessert for the most part.,0.0,0,7
I don't cook anymore.,I don't cook anymore.,0.0,0,4
A lot of people complained.,A lot of people complain.,0.2,1,5
It seems like you get it a lot.,It seems like you get hit the worst.,0.375,3,8
They got real fat.,They got real fat.,0.0,0,4
I mean just nothing.,I mean just nothing.,0.0,0,4
While my orders was a year old.,While my oldest was a year old.,0.14285714285714285,1,7
So it was really too late to do much.,So it was really too late to do much.,0.0,0,9
I'm tired of being a pessimist though.,I'm tired of being a pacifist though.,0.14285714285714285,1,7
Maybe they're counting on that.,Maybe they're counting on that.,0.0,0,5
Being able to have a choice.,Being able to have a choice.,0.0,0,6
We want to stay forever.,We want to stay forever.,0.0,0,5
Of course they ate a lot of seafood.,Of course they ate a lot of sea food.,0.2222222222222222,2,9
It is estimated a total of three thousand properties were affected.,It is estimated a total of three thousand properties were affected.,0.0,0,11
Not all men pay their employees less.,Not all men pay their employees less?,0.0,0,7
Also known as WiFi.,Also known as welfare.,0.25,1,4
Then reboot the system.,Then reboot the system.,0.0,0,4
Vancouver teacher faces disturbing option for erasing gay student.,Vancouver Teacher Faces Disciplinary Action for Harassing Gay Student,0.3333333333333333,3,9
How to avoid being tracked on the internet.,How To Avoid Being Tracked on The Internet,0.0,0,8
He was that exceptional.,He was that exceptional.,0.0,0,4
What other questions would you ask?,What other questions would you ask?,0.0,0,6
So what about the enemies of the Assad regime?,"So, what about the enemies of the Assad regime?",0.0,0,9
"It's too valuable to just let people stay in, sorry.","Its too valuable to just let people stay in, sorry.",0.1,1,10
"And if I'm so blessed by the court, I'll never have to go again.","And if I'm so blessed by the gods, I'll never have to kill again.",0.14285714285714285,2,14
Your bathing and each want be visible to other users.,Your birthday and age won't be visible to other users.,0.3,3,10
A man with a small pension is a ward of the government.,A man with a small pension is a ward of the Government.,0.0,0,12
This week's pick is an exclusive that can tantalize a crowd.,This week's pick is an algorithm that can diagnose a stroke.,0.2727272727272727,3,11
Yet the precedent is not wrong to be extemporaneous and engaged.,Yet the president is not wrong to be exasperated and enraged.,0.2727272727272727,3,11
The boat canoe landed on the smooth planks.,The birch canoe slid on the smooth planks.,0.25,2,8
Threw the sheet to the stark blue background.,Glue the sheet to the dark blue background.,0.25,2,8
It's easy to tell the type of a wheel.,It's easy to tell the depth of a well.,0.2222222222222222,2,9
These days a chicken leg is a rare dish.,These days a chicken leg is a rare dish.,0.0,0,9
Rice is often served in round bowls.,Rice is often served in round bowls.,0.0,0,7
The juice of lemons makes fine punch.,The juice of lemons makes fine punch.,0.0,0,7
The box was thrown beside the parked truck.,The box was thrown beside the parked truck.,0.0,0,8
"The heads were feet, sharp card and carpus.",The hogs were fed chopped corn and garbage.,0.625,5,8
Four hours of steady work exhausts us.,Four hours of steady work faced us.,0.14285714285714285,1,7
The fish thrashed and turned on the bait hook.,The fish twisted and turned on the bent hook.,0.2222222222222222,2,9
The front half was far short of perfect.,The swan dive was far short of perfect.,0.25,2,8
The beauty of the view stunned the young boy.,The beauty of the view stunned the young boy.,0.0,0,9
Two blue fishes swam in the lake.,Two blue fish swam in the tank.,0.2857142857142857,2,7
Her purse was full of used napkins.,Her purse was full of useless trash.,0.2857142857142857,2,7
The colt reared and threw the doll rider.,The colt reared and threw the tall rider.,0.125,1,8
It turned red and hailed the same morning.,"It snowed, rained, and hailed the same morning.",0.25,2,8
Read fiction out loud for pleasure.,Read verse out loud for pleasure.,0.16666666666666666,1,6
Place the burden to your left shoulder.,Hoist the load to your left shoulder.,0.2857142857142857,2,7
He vegetable gardened.,A vegetable garden.,0.6666666666666666,2,3
It really helps those people.,It really helps those people.,0.0,0,5
I never really thought of it that way.,I never really thought of it that way.,0.0,0,8
I don't know who looks forward to it more.,I don't know who looks forward to it more.,0.0,0,9
A wide variety.,A wide variety.,0.0,0,3
We could find a place that will take everything.,We can't find a place that will take everything.,0.1111111111111111,1,9
When they got in and spoke.,When they cut in and speak.,0.3333333333333333,2,6
They're grown now.,They're grown now.,0.0,0,3
It comes down to measuring.,It comes down to measuring.,0.0,0,5
Very suspenseful.,Very suspenseful.,0.0,0,2
Is that pollution?,Is that pollution?,0.0,0,3
The productivity and the training cost.,The productivity and the training costs.,0.16666666666666666,1,6
They're always willing to help you out.,They're always willing to help you out.,0.0,0,7
In the mortars.,In the mountains.,0.3333333333333333,1,3
The air is always cool.,The air is always cool.,0.0,0,5
That's the way I feel.,That's the way I feel.,0.0,0,5
What kind of running do you do?,What kind of running do you do?,0.0,0,7
I don't think it's quite as green.,I don't think it's quite as green.,0.0,0,7
How large is Willans?,How large is Williams?,0.25,1,4
I think we've got to do more with recycling.,I think we've got to do more with recycling.,0.0,0,9
I have many a time called them to come get me.,I have many a time called him to come get me.,0.09090909090909091,1,11
He worked hard at it.,He worked hard at it.,0.0,0,5
The French did her best through the court.,The frosty air passed through the coat.,0.7142857142857143,5,7
The rocket may fail to fill the Mars.,The crooked maze failed to fool the mouse.,0.625,5,8
Adding first least two rock songs.,Adding fast leads to wrong sums.,0.8333333333333334,5,6
The show was a flop from the very start.,The show was a flop from the very start.,0.0,0,9
Also is a school used for making boats.,A saw is a tool used for making boards.,0.4444444444444444,4,9
The working moved on with old fields.,The wagon moved on well oiled wheels.,0.5714285714285714,4,7
March the soldiers past the next hill.,March the soldiers past the next hill.,0.0,0,7
A cup of sugar makes sweet things.,A cup of sugar makes sweet fudge.,0.14285714285714285,1,7
Both lost their lives in the raging storm.,Both lost their lives in the raging storm.,0.0,0,8
We talked of the science show in the circus.,We talked of the side show in the circus.,0.1111111111111111,1,9
Use a pencil to write the first draft.,Use a pencil to write the first draft.,0.0,0,8
He ran halfway to the apple store.,He ran half way to the hardware store.,0.375,3,8
The lock struck to be the third pair.,The clock struck to mark the third period.,0.375,3,8
A small creek cut across the field.,A small creek cut across the field.,0.0,0,7
Cars and buses stalled in snow drifts.,Cars and busses stalled in snow drifts.,0.14285714285714285,1,7
This is a grand season for March on the road.,This is a grand season for hikes on the road.,0.1,1,10
The dune rose from the edge of the water.,The dune rose from the edge of the water.,0.0,0,9
Those works were the cue for the actor to leave.,Those words were the cue for the actor to leave.,0.1,1,10
A yacht slid around the point into the bay.,A yacht slid around the point into the bay.,0.0,0,9
The egg stain dried on the fitted sheet.,The ink stain dried on the finished page.,0.375,3,8
The walled town was seized without a fight.,The walled town was seized without a fight.,0.0,0,8
The lease runs out in sixteen weeks.,The lease ran out in sixteen weeks.,0.14285714285714285,1,7
It's just been a change to a lot of people.,It's just pocket change to a lot of people.,0.2222222222222222,2,9
They told me that this was the topic.,They told me that this was the topic.,0.0,0,8
Are you involved in any other things?,Are you involved in any other things?,0.0,0,7
The other thing to do.,The other thing to do.,0.0,0,5
They both grew up together.,They both cooperate together.,0.5,2,4
It got too cold up there.,It got too cold up there.,0.0,0,6
So let's make some conclusions.,"So, let's make some conclusions.",0.0,0,5
Train accidents and everything else.,Train accidents and everything else.,0.0,0,5
I guess that's about it.,I guess that's about it.,0.0,0,5
I don't think it's a good idea.,I don't think it's a good idea.,0.0,0,7
Especially for repeat offenders.,Especially for repeat offenders.,0.0,0,4
Since we've been married I've stopped going.,"Since we've been married, I've stopped going.",0.0,0,7
You don't want to or you don't have the time.,You don't want to or you don't have the time?,0.0,0,10
Others said they were disappointed.,Others said they were disappointed.,0.0,0,5
Somebody's going to change it.,Somebody's going to change it.,0.0,0,5
This is easy for me.,This is easy for me.,0.0,0,5
It's not as severe.,It's not as severe.,0.0,0,4
If you don't return it.,If you don't refute it.,0.2,1,5
Thank you for your participation.,Thank you for participating.,0.5,2,4
Employees have also voiced dissent.,Employers have also voiced concerns.,0.4,2,5
An apartment or a home.,An apartment or a home?,0.0,0,5
Inside the jail there.,Inside the jail there.,0.0,0,4
What should be done to avoid all these problems?,What should be done to avoid all these problems?,0.0,0,9
They don't reason.,They don't register.,0.3333333333333333,1,3
It's called rethinking my life.,It's called reviewing my life.,0.2,1,5
How are you doing?,How are you doing?,0.0,0,4
Do you think this is right?,Do you think this is right?,0.0,0,6
"This is good, isn't it?","This is good, isn't it?",0.0,0,5
I am not sure doing this.,I am also doing this.,0.4,2,5
I feel that we should help them.,I feel that we should help them.,0.0,0,7
What should we do now?,What should we do now?,0.0,0,5
How are you?,How are you?,0.0,0,3
Can you show me the way?,Can you show me the way?,0.0,0,6
Many people will come here.,Many people will come here.,0.0,0,5
She got this from me.,She got this from me.,0.0,0,5
This is really very good.,This is really very good.,0.0,0,5
We have worked a lot on this.,We have worked a lot on this.,0.0,0,7
I guess that is very good.,I guess that is very good.,0.0,0,6
I will make it work.,I will make it work.,0.0,0,5
"I think we all do, right?","I think we all do, right?",0.0,0,6
I wasn't saying this at all.,I wasn't saying this at all.,0.0,0,6
I have to pay for four things.,I have to pay for four things.,0.0,0,7
Call me once you get here.,Call me once you get here.,0.0,0,6
What part of this is hard?,What part of this is hard?,0.0,0,6
There's always a way out of this.,There's always a way out of this.,0.0,0,7
He came by looking for you.,He came by looking for you.,0.0,0,6
They are very mean. I don't like it.,"They are very mean, I don't like it.",0.0,0,8
Is there anything to do for me?,Is there anything to do for me?,0.0,0,7
What could you do in a few days?,What could you do in a few days?,0.0,0,8
Remember to let other people through first.,Remember to let other people through first.,0.0,0,7
Show me what you have got.,Show me what you have got.,0.0,0,6
I can't believe this is true.,I can't believe this is true.,0.0,0,6
I used their water.,I used their water.,0.0,0,4
I like the last bit of this movie.,I like the last bit of this movie.,0.0,0,8
Be nice to each other.,Be nice to each other.,0.0,0,5
I will stay with my family for a week.,I will stay with my family for a week.,0.0,0,9
I went back to get the kids.,I went back to get the kids.,0.0,0,7
Something seems off with her.,Something seems off with her.,0.0,0,5
She gave me a new watch.,She gave me a new watch.,0.0,0,6
I like to enjoy my life in the country.,I like to enjoy my life in the country.,0.0,0,9
Do you still care about your job?,Do you still care about your job?,0.0,0,7
She lives in the house right next to me.,She lives in the house right next to me.,0.0,0,9
Are they both still around?,Are they both still around?,0.0,0,5
I can't spend less time to be with children these days.,I get less time to be with children these days.,0.2,2,10
Years have gone by.,Years have gone by.,0.0,0,4
Can we use this for something?,Can we use this for something?,0.0,0,6
What is the point of all this?,What is the point of all this?,0.0,0,7
I can't think of a better time.,I can't think of a better time.,0.0,0,7
I hope to see you there.,I hope to see you there.,0.0,0,6
We should at least try this out.,We should at least try this out.,0.0,0,7
I would love to have more of this too.,I would love to have more of these too.,0.1111111111111111,1,9
It's great you could join us here.,It's great you could join us here.,0.0,0,7
Came this with you for now.,Keep this with you for now.,0.16666666666666666,1,6
Someone thought this show was very bad.,Someone thought this show was very bad.,0.0,0,7
I don't like this either.,I don't like this either.,0.0,0,5
How far do we have to go?,How far do we have to go.,0.0,0,7
Are you able to come with me next week?,Are you able to come with me next week?,0.0,0,9
Can you guess what's in this?,Can you guess what's in this?,0.0,0,6
Will you be around next week?,Will you be around next week?,0.0,0,6
What's different about this?,What's different about this?,0.0,0,4
This house looks very big.,This house looks very big.,0.0,0,5
What's your point?,What's your point?,0.0,0,3
Some people are quite good at this.,Some people are quite good at this.,0.0,0,7
What would you like to do first?,What would you like to do first?,0.0,0,7
I would love to be a part of this.,I would love to be a part of this.,0.0,0,9
Crime may have taken place this morning somewhere.,crime men turn couldn't morning somewhere.,0.8333333333333334,5,6
Sports mishaps are televised.,sports miss companies aren't television.,0.8,4,5
"Good newspaper, you'll report, maybe.",drug newspaper you'll report baby.,0.4,2,5
What choices couldn't the thing cards?,won't choices couldn't thirty cards.,0.6,3,5
Funny past decisions Dallas future bring.,funny past decisions dallas future bring.,0.0,0,6
Variety years originally take second.,variety yours originally check second.,0.4,2,5
Child boys classical clothes team.,child boys classical clothes team.,0.0,0,5
There were some were unusual house mice.,store somewhere unusual helps miss.,1.2,6,5
Cars curl exactly fine watching.,course girl exactly fan watching.,0.6,3,5
You'll need benefits and a vacation like.,you'll middle benefits education lives.,1.0,5,5
Multiple testing can be easier from home with them now.,mother testing second easier program number.,1.3333333333333333,8,6
Coming soon your favorite food.,coming sun york favorite food.,0.4,2,5
Grossly spend mean disensationally wave.,grew spend men necessarily you've.,0.8,4,5
Four months expected for nursing.,vote month expected fan nursing.,0.6,3,5
"Snack, walk, catch, along, set.",thank york catch along set.,0.4,2,5
Mother team system amount taxes.,mother team system amount texas.,0.2,1,5
"Snoring noise sounds, he eats French.",story noise sounds eight friends.,0.8,4,5
Live talk show depends across weekend.,line talked turn depends across weekend.,0.5,3,6
Large number of employees will miss this.,Large number of employees will miss this.,0.0,0,7
This program will help our growing team.,This program will help our growing team.,0.0,0,7
My baby grew a lot in the first six months.,My baby grew a lot in the first six months.,0.0,0,10
This policy is important for social interest.,This policy is important for social interest.,0.0,0,7
I knew what the deal was in the past.,I know what the deal was in the past.,0.1111111111111111,1,9
Quality education will certainly help.,Quality education will certainly help.,0.0,0,5
This does not appeal to me at all.,This does not appeal to me at all.,0.0,0,8
They gave a variety of benefits to their employees.,They gave variety of benefits to their employees.,0.125,1,8
We have a long evening ahead of us.,We have a long evening ahead of us.,0.0,0,8
Different choices between past and future.,Different choices between past and future.,0.0,0,6
This will all end soon.,This will fall down soon.,0.4,2,5
American teams are clear this season.,American teams are clear this season.,0.0,0,6
Nothing will change my heart on this matter.,Nothing will change my heart on this matter.,0.0,0,8
She was supposed to go with me.,She was supposed to go with me.,0.0,0,7
He said he was paid today.,He says he was paid today.,0.16666666666666666,1,6
School gave a card and books to this small child.,School gave a card and books to this small child.,0.0,0,10
Parents of small children care about this.,Parents of small children care about this.,0.0,0,7
She was taking her time to do the work.,She was talking her time to do the work.,0.1111111111111111,1,9
This policy mostly sounds right to me.,This policy mostly sounds right to me.,0.0,0,7
You should avoid this course.,You should avoid this course.,0.0,0,5
Especially if you are coming this weekend.,Especially if you are coming this weekend.,0.0,0,7
We will listen to whatever Jerry says.,We will listen to whatever jury says.,0.14285714285714285,1,7
I will give you mine for free.,I will give you mine for free.,0.0,0,7
How much is your card worth?,How much is your card worth?,0.0,0,6
Please order our regular food for everyone.,Please order our regular food for everyone.,0.0,0,7
It pertains to my daily life at the present time.,It pertains to my daily life at the present time.,0.0,0,10
But you have friends that have children.,But you have friends that have children.,0.0,0,7
Towns with ruins on them served as temples.,Stones with runes on them served as checkpoints.,0.375,3,8
There was a story of a woman last year.,There was a story of a woman last year.,0.0,0,9
A medical problem.,A medical problem.,0.0,0,3
What area of the country do you live in?,What area of the country do you live in?,0.0,0,9
This happened about a week ago.,This happened about a week ago.,0.0,0,6
It seems like you work quicker.,It seems like you walk quicker.,0.16666666666666666,1,6
In the construct.,In the district.,0.3333333333333333,1,3
They started looking into programs.,They started looking into programs.,0.0,0,5
Join us for an upcoming event.,Join us for an upcoming event.,0.0,0,6
Do you believe in the tooth fairy?,Do you believe in the Dallas Cowboys?,0.2857142857142857,2,7
Do you find yourself funny?,Do you find yourself funny?,0.0,0,5
"To get into the systems, very difficult.",To get into the system's very difficult.,0.14285714285714285,1,7
Second generation.,Second generation.,0.0,0,2
Real rough time camping.,Real rough type camping.,0.25,1,4
So I made my own version.,So I made my own version.,0.0,0,6
They said it was really riveting.,They said it was really riveting.,0.0,0,6
That would be good.,That would be good.,0.0,0,4
I'm not building any reserves.,I'm not building any reserves.,0.0,0,5
Just put your paper in the same place every day.,Just put your paper in the same place every day.,0.0,0,10
Pull all this weight.,Pull all this weight.,0.0,0,4
Bring the pot to a boil.,Bring the pot to a boil.,0.0,0,6
It's my voice.,It's my voice.,0.0,0,3
What does the American report say?,What does the American report say?,0.0,0,6
Social states give more benefits to employees.,Social states give more benefits to employees.,0.0,0,7
I am taking my car to check this out in the evening.,I am taking my car to check this out in the evening.,0.0,0,12
This car is super expensive.,This car is super expensive.,0.0,0,5
Her friend will thank her for the card.,Her friend will thank her for the card.,0.0,0,8
Originally it was a year long nursing program.,"Originally, it was a year long nursing program.",0.0,0,8
What happened to the sound?,What happened to the sound?,0.0,0,5
Tell me your education story.,Tell me your education story.,0.0,0,5
There's good music and good food.,There's good music and good food.,0.0,0,6
What is the cost of each piece you sell?,What is the cost of each piece you sell?,0.0,0,9
I hope you listen to this wonderful music.,I often listen to this wonderful music.,0.2857142857142857,2,7
I have to go across the city to see her.,I have to go across the city to see her.,0.0,0,10
My teachers exactly knew my mind.,My teachers exactly knew my mind.,0.0,0,6
How long have you been married?,How long have you been married?,0.0,0,6
Your experience is very good for this job.,Your experience is very good for this job.,0.0,0,8
His good luck will help him avoid problems.,His good luck will help him avoid problems.,0.0,0,8
I am free to make a decision about my college.,I am free to make a decision about my college.,0.0,0,10
Avoid capital punishment.,Avoid capital punishment.,0.0,0,3
Getting married is not a crime.,Getting married is not a crime.,0.0,0,6
What happened after I left?,What happened after I left?,0.0,0,5
Let's make a program for kids.,Let's make a program for kids.,0.0,0,6
Light clothes are best.,Light clothes are bad.,0.25,1,4
How many miles were you driving today?,How many miles were you driving today?,0.0,0,7
Government will run from the capital city.,Government will run from the capital city.,0.0,0,7
They will take up recycling from now on.,They will take up recycling from now on.,0.0,0,8
My yard is very clean today.,My yard is very clean today.,0.0,0,6
I am not a fan of this kind of music.,I am not a fan of this kind of music.,0.0,0,10
Nothing is more important to him than power.,Nothing is more important to him than power.,0.0,0,8
I like to work in this small room.,I like to work in this small room.,0.0,0,8
Their situation is not as bad.,Their situation is not as bad.,0.0,0,6
This is teacher's favorite topic.,This is teacher's favourite topic.,0.2,1,5
She has experience in education.,She has experience in education.,0.0,0,5
This will not matter as much in the long run.,This will not matter much in the long run.,0.1111111111111111,1,9
I tried a lot but this is still wrong.,"I tried a lot, but this is still wrong.",0.0,0,9
I paid all my taxes the night before.,I paid all my taxes the night before.,0.0,0,8
This is a growing company with many employees.,This is a growing company with many employees.,0.0,0,8
The law gives everyone this one right.,The law gives everyone this one right.,0.0,0,7
Listen to your parents right now.,Listen to your parents right now.,0.0,0,6
What's the occasion today?,What's the occasion today?,0.0,0,4
Your mother said this is enough.,Your mother said this is enough.,0.0,0,6
How many books are loaned to you have?,How many books on law do you have?,0.375,3,8
Which book are you reading to children?,Which book are you reading to children?,0.0,0,7
This seems like a large catch.,This seems like a large catch.,0.0,0,6
Do you have your credit card?,Do you have your credit card?,0.0,0,6
The couple got married last week.,The couple got married last week.,0.0,0,6
I have lived in Illinois and Dallas.,I have lived in Illinois and Dallas.,0.0,0,7
Television service is awful here.,Television service is awful here.,0.0,0,5
The jury did not change this fact.,The jury cannot change this fact.,0.3333333333333333,2,6
I was in the teaching school originally.,I was in the nursing school originally.,0.14285714285714285,1,7
Recycling law depends on your city.,Recycling law depends on your city.,0.0,0,6
I'm watching my kid's education.,I'm watching my kid's education.,0.0,0,5
I bought these new clothes today.,I bought these new clothes today.,0.0,0,6
This may seem important now.,This may seem important now.,0.0,0,5
Tax season is certainly interesting.,Tax season is certainly interesting.,0.0,0,5
There's so much noise in the capital city.,There's so much noise in the capital city.,0.0,0,8
Your story is not clear anymore.,Your story is not clear anymore.,0.0,0,6
This room is quite neat.,This room is quite neat.,0.0,0,5
Children do not like punishment.,Children do not like punishment.,0.0,0,5
I think this is not worth the time.,My wife thinks this is not worth the time.,0.3333333333333333,3,9
They make less money in this season with snow.,They make less money in this season with snow.,0.0,0,9
Will you spend all that time reading your book?,Will you spend all that time reading your book?,0.0,0,9
I am here for my friend's company.,I am here for my friend's company.,0.0,0,7
You should vote for the future.,You should vote for the future.,0.0,0,6
The morning sunlight is white.,The morning sun light is white.,0.3333333333333333,2,6
My teachers are very helpful.,My teachers are very helpful.,0.0,0,5
Is this noise from the TV?,Is this noise from the TV?,0.0,0,6
"Eat your food, it's getting cold.","Eat your food, it's getting cold.",0.0,0,6
Who benefits from this policy?,Who benefits from this policy?,0.0,0,5
My daughter likes to play outside in the yard.,My daughter likes to play outside in the yard.,0.0,0,9
He will understand when I talk to him.,He will understand when I talk to him.,0.0,0,8
How many casualties were there?,How many casualties were there?,0.0,0,5
Luxury does not have to be expensive.,Luxury does not have to be expensive.,0.0,0,7
I like all this open space around the house.,I like all this open space around the house.,0.0,0,9
Evening is the best time for reading.,Evening is the best time for reading.,0.0,0,7
Nothing can stop me from doing this.,Nothing can stop me from doing this.,0.0,0,7
She will sit across the room.,She will sit across the room.,0.0,0,6
Seventy awful years.,Seventy awful years.,0.0,0,3
A pile of luxury things is something else.,Appeal of luxury things is something else.,0.2857142857142857,2,7
This is a special city in a special country.,This is a special city in the special country.,0.1111111111111111,1,9
Certain people enjoy this kind of music.,Certain people enjoy this kind of music.,0.0,0,7
Camping is getting more expensive.,Camping is getting more expensive.,0.0,0,5
Who thought of this wonderful idea?,Who thought of this wonderful idea?,0.0,0,6
Some more time in the morning would be nice.,Some more time in the morning would be nice.,0.0,0,9
What was the exact line in the play?,What was the exact line in the play?,0.0,0,8
We must always keep looking forward.,We must always keep looking forward.,0.0,0,6
Check the oil in the car first.,Check the oil in the car first.,0.0,0,7
The view from here is not worth it.,The view from here is not worth it.,0.0,0,8
He is quite a social person.,He is quite a social person.,0.0,0,6
They will be more like somewhere around here.,There will be more light somewhere around here.,0.25,2,8
That woman will check this fact.,That woman will check this fact.,0.0,0,6
Do not sell your free time or your space of mind.,Do not sell your free time or your peace of mind.,0.09090909090909091,1,11
It all worked out quite well for our family.,It all worked out quite well for our family.,0.0,0,9
The joy of an early morning walk.,The joy of an early morning walk.,0.0,0,7
It is easier to go without moon.,It is easier to go without food.,0.14285714285714285,1,7
My vision does not amount to anything.,My vision does not amount to anything.,0.0,0,7
We should turn around and pick her up from school.,We should turn around and pick her up from school.,0.0,0,10
They must think if they can live with this decision.,They must think if they can live with this decision.,0.0,0,10
I am not sure if this will be interesting to the kids.,I am not sure if this will be interesting to the kids.,0.0,0,12
That was a close call.,That was a close call.,0.0,0,5
"First of all, remember to be nice.","First of all, remember to be nice.",0.0,0,7
Can you put the book down for a few minutes?,Can you put the book down for a few minutes?,0.0,0,10
"Yes, I am talking to you.","Yes, I am talking to you.",0.0,0,6
This will make somebody care for the situation.,This will make somebody care for the situation.,0.0,0,8
We talked about this the other day.,We talked about this the other day.,0.0,0,7
What was your experience working with him?,What was your experience working with him?,0.0,0,7
She was the division head in the college.,She was the division head in the college.,0.0,0,8
He wants it to make four miles.,He wanted to walk for miles.,0.6666666666666666,4,6
"Please, that's enough music for today.","Please, that's enough music for today.",0.0,0,6
We need to work more on the social part.,We need to work more on the social part.,0.0,0,9
This married couple will enjoy their visit.,This married couple will enjoy their visit.,0.0,0,7
I don't see what the purpose is.,I don't see what the problem is.,0.14285714285714285,1,7
I guess something has to go.,I guess something has to go.,0.0,0,6
Do you know that I have never seen a budget?,Do you know that I've never seen a monkey?,0.3333333333333333,3,9
They enjoyed the school.,They've enjoyed the school.,0.25,1,4
Proofs of person.,Prince of Persia.,0.6666666666666666,2,3
Seeing as you have got some older children.,Seeing as you've got some older children.,0.2857142857142857,2,7
I think it's cost a lot.,I think it's caused a lot.,0.16666666666666666,1,6
If you haven't flown down.,If you haven't slowed down.,0.2,1,5
We also set aside money for entertainment.,We also set aside money for entertainment.,0.0,0,7
I enjoy the news.,I enjoy the news.,0.0,0,4
Everything I learned about engine room.,Everything I learned about ancient Rome.,0.3333333333333333,2,6
Right now I'm busy chasing my kids.,Right now I'm busy chasing my kids.,0.0,0,7
Wasn't it allowed to bring a lawn mower?,Wasn't allowed to run a lawn mower.,0.2857142857142857,2,7
The storyline was just incredible.,The coastline was just incredible.,0.2,1,5
Why do you say that actually?,Why do you say that actually.,0.0,0,6
You were great.,You were great.,0.0,0,3
"Ten months later, he said.",Ten months later he said.,0.0,0,5
I'm glad to hear that.,I'm glad to hear that.,0.0,0,5
I had to change the water in that.,I had to change the water in that.,0.0,0,8
"I mean, I haven't had it that long.",I mean I've haven't had it that long.,0.125,1,8
When they fall over.,When they fall over.,0.0,0,4
Check out our free versions.,Check out our free versions!,0.0,0,5
I make my living by first.,I make my living by phone.,0.16666666666666666,1,6
I'm in charge of raising them.,I'm in charge of raising them.,0.0,0,6
I think it would work out well.,I think it would work out well.,0.0,0,7
They will not get everything done anyway.,They will not get everything done anyway.,0.0,0,7
People from my college were already there.,People from my college were already there.,0.0,0,7
I will probably say no to this.,I will probably say no to this.,0.0,0,7
It is the policy in this country.,It is the policy in this country.,0.0,0,7
Having too much peer pressure can be difficult.,Having too much power can be difficult.,0.2857142857142857,2,7
Luxury clothes these days are quite expensive.,Luxury clothes these days are quite expensive.,0.0,0,7
Is your family from Dallas?,Is your family from Dallas?,0.0,0,5
There seems to be some confusion about this.,There seems to be some confusion about this.,0.0,0,8
There are some awful places in that country.,There are some awful places in that country.,0.0,0,8
My computer is not working anymore.,My computer is not working anymore.,0.0,0,6
Employees should do some field work when they join.,Employees should do some field work when they join.,0.0,0,9
Where it is that awful noise coming from?,Where is that awful noise coming from?,0.14285714285714285,1,7
My American friends are from Texas.,My American friends are from Texas.,0.0,0,6
The old newspaper will have a re-report on this.,The old newspaper will have a report on this.,0.1111111111111111,1,9
How much do you have to pay for your credit card?,How much do you have to pay for your credit card?,0.0,0,11
We cannot go there without you.,We cannot go there without you.,0.0,0,6
Not everyone can exercise in the morning.,Not everyone can exercise in the morning.,0.0,0,7
The work gets easy with experience.,The work gets easier with experience.,0.16666666666666666,1,6
I have been working on this since early morning.,I have been working on this since early morning.,0.0,0,9
The air is clear at night.,The air is clear at night.,0.0,0,6
I will probably get a car soon.,I will probably own a car soon.,0.14285714285714285,1,7
"With their good luck, they will avoid these problems.","With their good luck, they will avoid these problems.",0.0,0,9
How many minutes did it take to cook this food?,How many minutes did it take to cook this food?,0.0,0,10
Let's play this new version of my favorite music.,Let's play this new version of my favorite music.,0.0,0,9
"Most of us think we know the story of Detroit, Michigan.","Most of us think we know the story of Detroit, Michigan.",0.0,0,11
That was one thing that's been really nice to have.,That was one thing that's been really nice to have.,0.0,0,10
They shot him point blank in the face.,They shot him point blank in the face.,0.0,0,8
These are made with a flour tortilla.,These are made with a flour tortilla.,0.0,0,7
Did you hear from another person?,Did you hear from another person?,0.0,0,6
It has been like fifteen years.,It has been like fifteen years.,0.0,0,6
