idx,n_candidates,prediction,ground_truth,time_ms,tokens_in,tokens_out
404,5,There are no more vehicles parked on the map.,There are no more vehicle tokens spread across the map.,874.04,495,10
405,5,Where is the evidence that they possess consciences?,Where is the evidence that they possess consciousness?,974.04,447,10
406,5,"Nevertheless, I run my house as I get up.",Nevertheless I roll my eyes as I get up.,689.0,433,11
407,5,"People will do humiliating, grotesque things for attention.","People will do humiliating, grotesque things for ambition.",844.07,505,12
408,5,Several correspondents had their notebooks searched.,Several correspondents had their notebooks searched.,1623.74,439,8
409,5,They set off ambulances to start new cancer calls.,They send off emissaries to start new cancer colonies.,703.05,487,11
410,5,You actually look forward to quizzes or records reading your coupon.,You actually look forward to foxes or raccoons raiding your garbage.,821.48,585,12
411,5,It was given to you the minute you cast your ballot.,It was given to you the minute you cast your ballot.,922.42,516,12
412,5,"Check out eBay, Craigslist, and other online sites for deals.","Check out eBay, Craigslist and other online sites for deals.",840.33,549,14
413,5,Sign up for our daily newsletter of the top stories in Curry County.,Sign up for our daily newsletter of the top stories in Courier country.,1603.88,615,14
414,5,Such things are a violation of the UN Charter.,Such threats are a violation of the UN Charter.,814.73,473,10
415,5,Never makes a moment.,Never miss a moment!,7923.67,311,5
416,5,He is not making any major changes for the remotes.,He is not making any major changes for the rematch.,835.94,526,12
417,5,Works is the implication of blame.,Worse is the implication of blame.,1618.78,384,7
418,5,I didn't buy a ticket.,I didn't buy a kit.,718.01,315,6
419,5,What they have children over here.,Once they have children over here.,776.09,376,7
420,5,My husband and all the men.,My husband and all the men.,741.91,358,7
421,5,To ask automakers for more jobs won't work.,To ask automakers for more jobs won't work.,835.74,450,10
422,5,I like just looking at the people.,I like just looking at the billboards.,920.16,407,8
423,5,That's true of any sport.,That's true of any sport.,716.82,344,6
424,5,I would not mind it.,I would not mind it.,715.39,314,6
425,5,I'm concerned.,I'm concerned.,716.96,250,3
426,5,The motivation isn't there for a lot of people.,The motivation isn't there for a lot of people.,1732.12,483,10
427,5,So you enjoy gardening.,So you enjoy gardening?,1440.48,323,5
428,5,She wheeled it out on a cart.,She wheeled it out on a cart.,746.13,368,9
429,5,Thanks for airing my rap.,Thanks for hearing me rap.,789.3,346,6
430,5,We're living longer and people are less trusting.,We're living longer and people are less trusting.,921.96,465,9
431,5,The choice is yours.,The choice is yours.,860.58,295,5
432,5,Take off and leave your group and go explore.,Take off and leave your group and go explore.,981.27,461,10
433,5,Are you recycling?,Are you recycling?,670.43,288,4
434,5,Healthing vision.,Healthy vision.,864.8,263,4
435,5,They was just bad side effects.,They was just bad side effects.,819.18,382,7
436,5,I just bought a new house.,I just bought a new house.,766.54,344,7
437,5,It's like we've lost our values in this country.,It's like we've lost our values in this country.,869.97,481,10
438,5,It is time we made that decision together.,It is time we made that decision together.,835.79,448,9
439,5,So many of them nowadays.,So many of them nowadays.,699.48,346,6
440,5,"Basically, the guy confessed.",Basically the guy commits.,712.55,325,6
441,5,So it's been real fun here to see.,So it's been real fun here to see.,718.77,417,9
442,5,Stop spreading mathematics deeply nonsense.,shop spraying mathematics developing nashville,719.9,426,6
443,5,Casualty communication are a first response call scroll.,casualty communism argue frost receptacle scroll,785.35,495,11
444,5,Supported according to her own words.,supported according key arrive crush,764.38,367,7
445,5,Making traditional used flat.,playing traditional used flat,639.36,337,5
446,5,Kirkos Teves dollars concentration wins temporarily.,turquoise teams dollars concentration wind's stupidly,823.01,467,10
447,5,"Pass against little action, crap stick.",pops against idol accurate crop steak,866.87,394,8
448,5,It during slows and everyone.,kept touring shallows hang everyone,722.97,364,6
449,5,There's news arning by comment.,terms news earning by commitment,767.65,359,7
450,5,Grandparents examine throw stays.,grandparents engagement throw stage,868.44,351,6
451,5,Help diplomatically please rephrase names.,elk diplomatic plates reimbursed names,758.47,391,8
452,5,First three clips done.,first terror slips done,1335.46,316,5
453,5,"High yields, blooming, coming up in your tank.",ice hairs blooming coming opinion take,800.97,402,11
454,5,"Semester's plays lean sales, fertilizers, dementia.",semesters plans lean zales fertilizers dementia,1349.75,438,10
455,5,Grade nuclear Arab access destroying.,grade nucleus arrive excess destroying,838.83,395,6
456,5,My sight seeing goes mainly.,bonsai meeting ghost mainly,707.11,334,6
457,5,Resale telling serious understanding moral.,resale telling serious understanding moral,1684.98,420,7
458,5,"Democratically, Matos is common crowd paint.",democratically reduces carbon cramped baked,1706.27,413,11
459,5,We're paying basketball people.,We're paying basketball people.,742.27,346,5
460,5,It sounds like you have really strong views on it.,It sounds like you have really strong views on it.,1645.61,480,11
461,5,And soon the snow and ice came in.,On Sunday the snow and ice came in.,804.4,405,9
462,5,But trying times could call for drastic measures.,But drastic times could call for drastic measures.,1445.14,473,9
463,5,Either savings or investments.,Either savings or investment.,714.79,342,5
464,5,Personified vision able to see at night.,"Magnified vision, able to see at night.",713.59,423,9
465,5,Of course my job was such that I didn't.,Of course my job was such that I didn't.,762.01,442,10
466,5,Places now have a new visual effect.,Blizzards now have a new visual effect.,813.74,426,8
467,5,It's like a joke I heard once.,It's like a joke I heard once.,780.94,381,8
468,5,After we got married we moved.,After we got married we moved.,820.37,380,7
469,5,Live without dessert for the most part.,Live without dessert for the most part.,746.42,407,8
470,5,I don't cook anymore.,I don't cook anymore.,787.71,309,5
471,5,A lot of people complained.,A lot of people complain.,719.6,346,6
472,5,It seems like you get it a lot.,It seems like you get hit the worst.,916.75,410,9
473,5,They got real fat.,They got real fat.,599.6,298,5
474,5,I mean just nothing.,I mean just nothing.,730.77,315,5
475,5,While my orders was a year old.,While my oldest was a year old.,868.76,383,8
476,5,So it was really too late to do much.,So it was really too late to do much.,724.89,434,10
477,5,I'm tired of being a pessimist though.,I'm tired of being a pacifist though.,740.18,408,9
478,5,Maybe they're counting on that.,Maybe they're counting on that.,695.22,344,6
479,5,Being able to have a choice.,Being able to have a choice.,746.53,365,7
480,5,We want to stay forever.,We want to stay forever.,780.86,339,6
481,5,Of course they ate a lot of seafood.,Of course they ate a lot of sea food.,1547.06,420,9
482,5,It is estimated a total of three thousand properties were affected.,It is estimated a total of three thousand properties were affected.,848.26,585,12
483,5,Not all men pay their employees less.,Not all men pay their employees less?,827.95,413,8
484,5,Also known as WiFi.,Also known as welfare.,817.37,303,6
485,5,Then reboot the system.,Then reboot the system.,598.46,323,5
486,5,Vancouver teacher faces disturbing option for erasing gay student.,Vancouver Teacher Faces Disciplinary Action for Harassing Gay Student,833.87,550,12
487,5,How to avoid being tracked on the internet.,How To Avoid Being Tracked on The Internet,1643.86,447,9
488,5,He was that exceptional.,He was that exceptional.,741.08,322,5
489,5,What other questions would you ask?,What other questions would you ask?,724.09,368,7
490,5,So what about the enemies of the Assad regime?,"So, what about the enemies of the Assad regime?",986.43,488,10
491,5,"It's too valuable to just let people stay in, sorry.","Its too valuable to just let people stay in, sorry.",1390.78,524,12
492,5,"And if I'm so blessed by the court, I'll never have to go again.","And if I'm so blessed by the gods, I'll never have to kill again.",1782.6,583,16
493,5,Your bathing and each want be visible to other users.,Your birthday and age won't be visible to other users.,833.6,517,11
494,5,A man with a small pension is a ward of the government.,A man with a small pension is a ward of the Government.,853.34,548,13
495,5,This week's pick is an exclusive that can tantalize a crowd.,This week's pick is an algorithm that can diagnose a stroke.,973.82,553,13
496,5,Yet the precedent is not wrong to be extemporaneous and engaged.,Yet the president is not wrong to be exasperated and enraged.,830.38,569,14
497,5,The boat canoe landed on the smooth planks.,The birch canoe slid on the smooth planks.,811.56,428,10
498,5,Threw the sheet to the stark blue background.,Glue the sheet to the dark blue background.,849.45,443,10
499,5,It's easy to tell the type of a wheel.,It's easy to tell the depth of a well.,1600.85,441,10
500,5,These days a chicken leg is a rare dish.,These days a chicken leg is a rare dish.,819.04,438,10
501,5,Rice is often served in round bowls.,Rice is often served in round bowls.,823.38,398,8
502,5,The juice of lemons makes fine punch.,The juice of lemons makes fine punch.,838.16,407,8
503,5,The box was thrown beside the parked truck.,The box was thrown beside the parked truck.,897.08,436,9
504,5,"The heads were feet, sharp card and carpus.",The hogs were fed chopped corn and garbage.,848.15,448,11
505,5,Four hours of steady work exhausts us.,Four hours of steady work faced us.,789.13,399,9
506,5,The fish thrashed and turned on the bait hook.,The fish twisted and turned on the bent hook.,1003.8,463,12
507,5,The front half was far short of perfect.,The swan dive was far short of perfect.,735.65,428,9
508,5,The beauty of the view stunned the young boy.,The beauty of the view stunned the young boy.,731.18,450,10
509,5,Two blue fishes swam in the lake.,Two blue fish swam in the tank.,802.15,376,9
510,5,Her purse was full of used napkins.,Her purse was full of useless trash.,721.62,413,9
511,5,The colt reared and threw the doll rider.,The colt reared and threw the tall rider.,816.23,426,10
512,5,It turned red and hailed the same morning.,"It snowed, rained, and hailed the same morning.",1329.44,438,9
513,5,Read fiction out loud for pleasure.,Read verse out loud for pleasure.,814.14,376,7
514,5,Place the burden to your left shoulder.,Hoist the load to your left shoulder.,724.13,383,8
515,5,He vegetable gardened.,A vegetable garden.,686.03,311,5
516,5,It really helps those people.,It really helps those people.,788.67,353,6
517,5,I never really thought of it that way.,I never really thought of it that way.,877.01,407,9
518,5,I don't know who looks forward to it more.,I don't know who looks forward to it more.,1023.48,437,10
519,5,A wide variety.,A wide variety.,718.22,276,4
520,5,We could find a place that will take everything.,We can't find a place that will take everything.,923.18,469,10
521,5,When they got in and spoke.,When they cut in and speak.,657.12,355,7
522,5,They're grown now.,They're grown now.,632.57,270,4
523,5,It comes down to measuring.,It comes down to measuring.,780.19,338,6
524,5,Very suspenseful.,Very suspenseful.,647.79,276,4
525,5,Is that pollution?,Is that pollution?,653.34,280,4
526,5,The productivity and the training cost.,The productivity and the training costs.,705.04,403,7
527,5,They're always willing to help you out.,They're always willing to help you out.,887.15,399,8
528,5,In the mortars.,In the mountains.,766.37,269,5
529,5,The air is always cool.,The air is always cool.,737.6,324,6
530,5,That's the way I feel.,That's the way I feel.,718.64,314,6
531,5,What kind of running do you do?,What kind of running do you do?,769.39,383,8
532,5,I don't think it's quite as green.,I don't think it's quite as green.,722.48,392,8
533,5,How large is Willans?,How large is Williams?,834.76,306,6
534,5,I think we've got to do more with recycling.,I think we've got to do more with recycling.,920.95,467,10
535,5,I have many a time called them to come get me.,I have many a time called him to come get me.,818.73,495,12
536,5,He worked hard at it.,He worked hard at it.,817.41,326,6
537,5,The French did her best through the court.,The frosty air passed through the coat.,835.09,416,9
538,5,The rocket may fail to fill the Mars.,The crooked maze failed to fool the mouse.,714.09,418,9
539,5,Adding first least two rock songs.,Adding fast leads to wrong sums.,745.9,376,7
540,5,The show was a flop from the very start.,The show was a flop from the very start.,750.36,449,10
541,5,Also is a school used for making boats.,A saw is a tool used for making boards.,762.72,453,9
542,5,The working moved on with old fields.,The wagon moved on well oiled wheels.,1306.05,391,8
543,5,March the soldiers past the next hill.,March the soldiers past the next hill.,1134.81,422,8
544,5,A cup of sugar makes sweet things.,A cup of sugar makes sweet fudge.,948.87,395,8
545,5,Both lost their lives in the raging storm.,Both lost their lives in the raging storm.,1119.48,433,9
546,5,We talked of the science show in the circus.,We talked of the side show in the circus.,764.81,439,10
547,5,Use a pencil to write the first draft.,Use a pencil to write the first draft.,844.63,426,9
548,5,He ran halfway to the apple store.,He ran half way to the hardware store.,717.18,415,8
549,5,The lock struck to be the third pair.,The clock struck to mark the third period.,1124.88,411,9
550,5,A small creek cut across the field.,A small creek cut across the field.,797.51,399,8
551,5,Cars and buses stalled in snow drifts.,Cars and busses stalled in snow drifts.,943.66,419,9
552,5,This is a grand season for March on the road.,This is a grand season for hikes on the road.,1152.01,477,11
553,5,The dune rose from the edge of the water.,The dune rose from the edge of the water.,1107.33,439,10
554,5,Those works were the cue for the actor to leave.,Those words were the cue for the actor to leave.,914.44,477,11
555,5,A yacht slid around the point into the bay.,A yacht slid around the point into the bay.,1023.18,446,10
556,5,The egg stain dried on the fitted sheet.,The ink stain dried on the finished page.,775.13,444,9
557,5,The walled town was seized without a fight.,The walled town was seized without a fight.,885.04,421,10
558,5,The lease runs out in sixteen weeks.,The lease ran out in sixteen weeks.,897.96,413,8
559,5,It's just been a change to a lot of people.,It's just pocket change to a lot of people.,1226.07,493,11
560,5,They told me that this was the topic.,They told me that this was the topic.,806.12,421,9
561,5,Are you involved in any other things?,Are you involved in any other things?,1257.8,397,8
562,5,The other thing to do.,The other thing to do.,1191.0,318,6
563,5,They both grew up together.,They both cooperate together.,943.12,327,6
564,5,It got too cold up there.,It got too cold up there.,816.99,348,7
565,5,So let's make some conclusions.,"So, let's make some conclusions.",715.94,370,6
566,5,Train accidents and everything else.,Train accidents and everything else.,821.49,379,6
567,5,I guess that's about it.,I guess that's about it.,816.02,316,6
568,5,I don't think it's a good idea.,I don't think it's a good idea.,779.11,387,8
569,5,Especially for repeat offenders.,Especially for repeat offenders.,757.94,367,5
570,5,Since we've been married I've stopped going.,"Since we've been married, I've stopped going.",830.01,414,8
571,5,You don't want to or you don't have the time.,You don't want to or you don't have the time?,808.16,471,11
572,5,Others said they were disappointed.,Others said they were disappointed.,866.33,362,6
573,5,Somebody's going to change it.,Somebody's going to change it.,1075.7,354,8
574,5,This is easy for me.,This is easy for me.,775.26,331,6
575,5,It's not as severe.,It's not as severe.,1580.66,300,5
576,5,If you don't return it.,If you don't refute it.,725.3,335,6
577,5,Thank you for your participation.,Thank you for participating.,669.0,340,6
578,5,Employees have also voiced dissent.,Employers have also voiced concerns.,1017.68,379,6
579,5,An apartment or a home.,An apartment or a home?,771.03,334,6
580,5,Inside the jail there.,Inside the jail there.,707.7,303,5
581,5,What should be done to avoid all these problems?,What should be done to avoid all these problems?,712.32,471,10
582,5,They don't reason.,They don't register.,769.28,273,4
583,5,It's called rethinking my life.,It's called reviewing my life.,712.1,342,7
584,5,How are you doing?,How are you doing?,638.34,287,5
585,5,Do you think this is right?,Do you think this is right?,746.96,350,7
586,5,"This is good, isn't it?","This is good, isn't it?",853.89,331,7
587,5,I am not sure doing this.,I am also doing this.,714.05,320,7
588,5,I feel that we should help them.,I feel that we should help them.,1276.59,389,8
589,5,What should we do now?,What should we do now?,940.72,321,6
590,5,How are you?,How are you?,717.4,252,4
591,5,Can you show me the way?,Can you show me the way?,722.34,339,7
592,5,Many people will come here.,Many people will come here.,813.82,359,6
593,5,She got this from me.,She got this from me.,815.72,338,6
594,5,This is really very good.,This is really very good.,735.34,345,6
595,5,We have worked a lot on this.,We have worked a lot on this.,795.6,377,8
596,5,I guess that is very good.,I guess that is very good.,752.68,353,7
597,5,I will make it work.,I will make it work.,787.88,314,6
598,5,"I think we all do, right?","I think we all do, right?",772.29,348,8
599,5,I wasn't saying this at all.,I wasn't saying this at all.,710.47,354,7
600,5,I have to pay for four things.,I have to pay for four things.,1075.18,371,8
601,5,Call me once you get here.,Call me once you get here.,838.13,358,7
602,5,What part of this is hard?,What part of this is hard?,799.15,356,7
603,5,There's always a way out of this.,There's always a way out of this.,692.06,380,8
604,5,He came by looking for you.,He came by looking for you.,803.66,358,7
605,5,They are very mean. I don't like it.,"They are very mean, I don't like it.",857.65,412,10
606,5,Is there anything to do for me?,Is there anything to do for me?,819.55,401,8
607,5,What could you do in a few days?,What could you do in a few days?,819.42,392,9
608,5,Remember to let other people through first.,Remember to let other people through first.,920.2,423,8
609,5,Show me what you have got.,Show me what you have got.,716.77,347,7
610,5,I can't believe this is true.,I can't believe this is true.,816.88,362,7
611,5,I used their water.,I used their water.,716.61,295,5
612,5,I like the last bit of this movie.,I like the last bit of this movie.,820.48,411,9
613,5,Be nice to each other.,Be nice to each other.,816.59,322,6
614,5,I will stay with my family for a week.,I will stay with my family for a week.,806.53,446,10
615,5,I went back to get the kids.,I went back to get the kids.,1004.39,376,8
616,5,Something seems off with her.,Something seems off with her.,706.01,345,6
617,5,She gave me a new watch.,She gave me a new watch.,861.67,343,7
618,5,I like to enjoy my life in the country.,I like to enjoy my life in the country.,728.82,455,10
619,5,Do you still care about your job?,Do you still care about your job?,729.17,391,8
620,5,She lives in the house right next to me.,She lives in the house right next to me.,896.82,430,10
621,5,Are they both still around?,Are they both still around?,769.73,326,6
622,5,I can't spend less time to be with children these days.,I get less time to be with children these days.,866.23,488,12
623,5,Years have gone by.,Years have gone by.,731.07,294,5
624,5,Can we use this for something?,Can we use this for something?,804.13,373,7
625,5,What is the point of all this?,What is the point of all this?,716.38,379,8
626,5,I can't think of a better time.,I can't think of a better time.,801.45,382,8
627,5,I hope to see you there.,I hope to see you there.,756.64,338,7
628,5,We should at least try this out.,We should at least try this out.,916.46,383,8
629,5,I would love to have more of this too.,I would love to have more of these too.,901.98,424,10
630,5,It's great you could join us here.,It's great you could join us here.,692.38,398,8
631,5,Came this with you for now.,Keep this with you for now.,979.85,349,8
632,5,Someone thought this show was very bad.,Someone thought this show was very bad.,1152.21,405,8
633,5,I don't like this either.,I don't like this either.,670.7,330,6
634,5,How far do we have to go?,How far do we have to go.,803.83,368,8
635,5,Are you able to come with me next week?,Are you able to come with me next week?,735.36,451,10
636,5,Can you guess what's in this?,Can you guess what's in this?,763.8,351,7
637,5,Will you be around next week?,Will you be around next week?,755.04,368,7
638,5,What's different about this?,What's different about this?,669.1,327,5
639,5,This house looks very big.,This house looks very big.,819.23,336,6
640,5,What's your point?,What's your point?,925.64,280,4
641,5,Some people are quite good at this.,Some people are quite good at this.,844.18,395,8
642,5,What would you like to do first?,What would you like to do first?,835.16,375,8
643,5,I would love to be a part of this.,I would love to be a part of this.,751.9,423,10
644,5,Crime may have taken place this morning somewhere.,crime men turn couldn't morning somewhere.,739.37,408,9
645,5,Sports mishaps are televised.,sports miss companies aren't television.,756.02,403,6
646,5,"Good newspaper, you'll report, maybe.",drug newspaper you'll report baby.,1125.04,379,8
647,5,What choices couldn't the thing cards?,won't choices couldn't thirty cards.,720.19,375,7
648,5,Funny past decisions Dallas future bring.,funny past decisions dallas future bring.,708.83,423,7
649,5,Variety years originally take second.,variety yours originally check second.,722.01,399,7
650,5,Child boys classical clothes team.,child boys classical clothes team.,802.98,372,6
651,5,There were some were unusual house mice.,store somewhere unusual helps miss.,755.59,375,8
652,5,Cars curl exactly fine watching.,course girl exactly fan watching.,744.33,376,6
653,5,You'll need benefits and a vacation like.,you'll middle benefits education lives.,663.71,386,8
654,5,Multiple testing can be easier from home with them now.,mother testing second easier program number.,1330.33,453,11
655,5,Coming soon your favorite food.,coming sun york favorite food.,789.14,351,6
656,5,Grossly spend mean disensationally wave.,grew spend men necessarily you've.,848.6,384,10
657,5,Four months expected for nursing.,vote month expected fan nursing.,627.19,366,6
658,5,"Snack, walk, catch, along, set.",thank york catch along set.,894.74,334,10
659,5,Mother team system amount taxes.,mother team system amount texas.,934.77,375,6
660,5,"Snoring noise sounds, he eats French.",story noise sounds eight friends.,1087.75,394,9
661,5,Live talk show depends across weekend.,line talked turn depends across weekend.,856.97,413,7
662,5,Large number of employees will miss this.,Large number of employees will miss this.,818.54,421,8
663,5,This program will help our growing team.,This program will help our growing team.,818.44,416,8
664,5,My baby grew a lot in the first six months.,My baby grew a lot in the first six months.,773.68,467,11
665,5,This policy is important for social interest.,This policy is important for social interest.,762.06,467,8
666,5,I knew what the deal was in the past.,I know what the deal was in the past.,1021.64,425,10
667,5,Quality education will certainly help.,Quality education will certainly help.,717.43,406,6
668,5,This does not appeal to me at all.,This does not appeal to me at all.,671.39,407,9
669,5,They gave a variety of benefits to their employees.,They gave variety of benefits to their employees.,737.29,480,10
670,5,We have a long evening ahead of us.,We have a long evening ahead of us.,842.42,419,9
671,5,Different choices between past and future.,Different choices between past and future.,716.04,415,7
672,5,This will all end soon.,This will fall down soon.,715.34,326,6
673,5,American teams are clear this season.,American teams are clear this season.,793.83,405,7
674,5,Nothing will change my heart on this matter.,Nothing will change my heart on this matter.,714.61,438,9
675,5,She was supposed to go with me.,She was supposed to go with me.,711.65,396,8
676,5,He said he was paid today.,He says he was paid today.,708.96,367,7
677,5,School gave a card and books to this small child.,School gave a card and books to this small child.,1271.03,487,11
678,5,Parents of small children care about this.,Parents of small children care about this.,730.01,432,8
679,5,She was taking her time to do the work.,She was talking her time to do the work.,905.43,435,10
680,5,This policy mostly sounds right to me.,This policy mostly sounds right to me.,818.34,434,8
681,5,You should avoid this course.,You should avoid this course.,716.48,336,6
682,5,Especially if you are coming this weekend.,Especially if you are coming this weekend.,789.24,429,8
683,5,We will listen to whatever Jerry says.,We will listen to whatever jury says.,852.33,424,8
684,5,I will give you mine for free.,I will give you mine for free.,921.69,382,8
685,5,How much is your card worth?,How much is your card worth?,648.1,352,7
686,5,Please order our regular food for everyone.,Please order our regular food for everyone.,766.94,442,8
687,5,It pertains to my daily life at the present time.,It pertains to my daily life at the present time.,828.86,492,11
688,5,But you have friends that have children.,But you have friends that have children.,714.48,414,8
689,5,Towns with ruins on them served as temples.,Stones with runes on them served as checkpoints.,826.83,463,10
690,5,There was a story of a woman last year.,There was a story of a woman last year.,1016.66,451,10
691,5,A medical problem.,A medical problem.,875.85,296,4
692,5,What area of the country do you live in?,What area of the country do you live in?,767.57,451,10
693,5,This happened about a week ago.,This happened about a week ago.,708.7,373,7
694,5,It seems like you work quicker.,It seems like you walk quicker.,1338.75,372,7
695,5,In the construct.,In the district.,657.55,277,4
696,5,They started looking into programs.,They started looking into programs.,711.05,381,6
697,5,Join us for an upcoming event.,Join us for an upcoming event.,814.9,382,7
698,5,Do you believe in the tooth fairy?,Do you believe in the Dallas Cowboys?,783.62,409,8
699,5,Do you find yourself funny?,Do you find yourself funny?,715.87,343,6
700,5,"To get into the systems, very difficult.",To get into the system's very difficult.,778.58,433,9
701,5,Second generation.,Second generation.,723.62,276,3
702,5,Real rough time camping.,Real rough type camping.,748.91,315,5
703,5,So I made my own version.,So I made my own version.,730.32,342,7
704,5,They said it was really riveting.,They said it was really riveting.,837.95,374,7
705,5,That would be good.,That would be good.,685.2,299,5
706,5,I'm not building any reserves.,I'm not building any reserves.,760.21,350,6
707,5,Just put your paper in the same place every day.,Just put your paper in the same place every day.,846.84,494,11
708,5,Pull all this weight.,Pull all this weight.,754.97,291,5
709,5,Bring the pot to a boil.,Bring the pot to a boil.,705.92,348,7
710,5,It's my voice.,It's my voice.,767.19,270,4
711,5,What does the American report say?,What does the American report say?,734.61,395,7
712,5,Social states give more benefits to employees.,Social states give more benefits to employees.,750.61,456,8
713,5,I am taking my car to check this out in the evening.,I am taking my car to check this out in the evening.,767.44,523,13
714,5,This car is super expensive.,This car is super expensive.,868.11,353,6
715,5,Her friend will thank her for the card.,Her friend will thank her for the card.,819.6,422,9
716,5,Originally it was a year long nursing program.,"Originally, it was a year long nursing program.",797.74,467,9
717,5,What happened to the sound?,What happened to the sound?,942.15,330,6
718,5,Tell me your education story.,Tell me your education story.,821.74,378,6
719,5,There's good music and good food.,There's good music and good food.,739.68,377,7
720,5,What is the cost of each piece you sell?,What is the cost of each piece you sell?,893.24,434,10
721,5,I hope you listen to this wonderful music.,I often listen to this wonderful music.,829.11,455,9
722,5,I have to go across the city to see her.,I have to go across the city to see her.,747.85,458,11
723,5,My teachers exactly knew my mind.,My teachers exactly knew my mind.,1069.28,383,7
724,5,How long have you been married?,How long have you been married?,786.75,354,7
725,5,Your experience is very good for this job.,Your experience is very good for this job.,866.18,499,9
726,5,His good luck will help him avoid problems.,His good luck will help him avoid problems.,919.3,453,9
727,5,I am free to make a decision about my college.,I am free to make a decision about my college.,821.61,493,11
728,5,Avoid capital punishment.,Avoid capital punishment.,714.6,329,4
729,5,Getting married is not a crime.,Getting married is not a crime.,820.35,375,7
730,5,What happened after I left?,What happened after I left?,816.68,344,6
731,5,Let's make a program for kids.,Let's make a program for kids.,1230.48,374,7
732,5,Light clothes are best.,Light clothes are bad.,882.8,299,5
733,5,How many miles were you driving today?,How many miles were you driving today?,878.21,405,8
734,5,Government will run from the capital city.,Government will run from the capital city.,837.9,445,8
735,5,They will take up recycling from now on.,They will take up recycling from now on.,775.32,435,9
736,5,My yard is very clean today.,My yard is very clean today.,762.2,378,7
737,5,I am not a fan of this kind of music.,I am not a fan of this kind of music.,844.65,463,11
738,5,Nothing is more important to him than power.,Nothing is more important to him than power.,852.84,448,9
739,5,I like to work in this small room.,I like to work in this small room.,753.36,402,9
740,5,Their situation is not as bad.,Their situation is not as bad.,887.64,371,7
741,5,This is teacher's favorite topic.,This is teacher's favourite topic.,713.39,361,7
742,5,She has experience in education.,She has experience in education.,714.51,395,6
743,5,This will not matter as much in the long run.,This will not matter much in the long run.,791.79,468,11
744,5,I tried a lot but this is still wrong.,"I tried a lot, but this is still wrong.",866.78,430,10
745,5,I paid all my taxes the night before.,I paid all my taxes the night before.,800.19,420,9
746,5,This is a growing company with many employees.,This is a growing company with many employees.,715.15,497,9
747,5,The law gives everyone this one right.,The law gives everyone this one right.,793.42,409,8
748,5,Listen to your parents right now.,Listen to your parents right now.,1171.0,380,7
749,5,What's the occasion today?,What's the occasion today?,796.89,319,5
750,5,Your mother said this is enough.,Your mother said this is enough.,716.96,364,7
751,5,How many books are loaned to you have?,How many books on law do you have?,678.58,403,10
752,5,Which book are you reading to children?,Which book are you reading to children?,925.15,408,8
753,5,This seems like a large catch.,This seems like a large catch.,853.87,370,7
754,5,Do you have your credit card?,Do you have your credit card?,716.2,368,7
755,5,The couple got married last week.,The couple got married last week.,760.27,389,7
756,5,I have lived in Illinois and Dallas.,I have lived in Illinois and Dallas.,875.54,399,8
757,5,Television service is awful here.,Television service is awful here.,719.78,378,7
758,5,The jury did not change this fact.,The jury cannot change this fact.,736.64,395,8
759,5,I was in the teaching school originally.,I was in the nursing school originally.,724.89,416,8
760,5,Recycling law depends on your city.,Recycling law depends on your city.,888.54,416,8
761,5,I'm watching my kid's education.,I'm watching my kid's education.,783.71,363,7
762,5,I bought these new clothes today.,I bought these new clothes today.,753.77,363,7
763,5,This may seem important now.,This may seem important now.,698.34,357,6
764,5,Tax season is certainly interesting.,Tax season is certainly interesting.,732.79,399,6
765,5,There's so much noise in the capital city.,There's so much noise in the capital city.,841.78,446,9
766,5,Your story is not clear anymore.,Your story is not clear anymore.,795.9,388,7
767,5,This room is quite neat.,This room is quite neat.,715.31,326,6
768,5,Children do not like punishment.,Children do not like punishment.,750.74,383,6
769,5,I think this is not worth the time.,My wife thinks this is not worth the time.,785.55,436,9
770,5,They make less money in this season with snow.,They make less money in this season with snow.,818.16,462,10
771,5,Will you spend all that time reading your book?,Will you spend all that time reading your book?,817.93,457,10
772,5,I am here for my friend's company.,I am here for my friend's company.,735.2,412,8
773,5,You should vote for the future.,You should vote for the future.,901.77,358,7
774,5,The morning sunlight is white.,The morning sun light is white.,637.25,361,6
775,5,My teachers are very helpful.,My teachers are very helpful.,956.35,354,6
776,5,Is this noise from the TV?,Is this noise from the TV?,761.91,370,7
777,5,"Eat your food, it's getting cold.","Eat your food, it's getting cold.",1434.1,366,8
778,5,Who benefits from this policy?,Who benefits from this policy?,713.99,374,6
779,5,My daughter likes to play outside in the yard.,My daughter likes to play outside in the yard.,878.11,451,10
780,5,He will understand when I talk to him.,He will understand when I talk to him.,752.96,428,9
781,5,How many casualties were there?,How many casualties were there?,825.3,372,6
782,5,Luxury does not have to be expensive.,Luxury does not have to be expensive.,843.5,431,8
783,5,I like all this open space around the house.,I like all this open space around the house.,1220.51,444,10
784,5,Evening is the best time for reading.,Evening is the best time for reading.,910.02,401,9
785,5,Nothing can stop me from doing this.,Nothing can stop me from doing this.,731.89,411,8
786,5,She will sit across the room.,She will sit across the room.,900.64,359,7
787,5,Seventy awful years.,Seventy awful years.,725.16,305,5
788,5,A pile of luxury things is something else.,Appeal of luxury things is something else.,832.3,433,9
789,5,This is a special city in a special country.,This is a special city in the special country.,897.58,473,10
790,5,Certain people enjoy this kind of music.,Certain people enjoy this kind of music.,1227.86,445,8
791,5,Camping is getting more expensive.,Camping is getting more expensive.,672.3,376,6
